new_index,sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
14,"于是 , 我 就 喝 了 一 [MASK]  是 不 是 很 冷 ?",碗,杯,-1.1901408433914185,"杯, 口, 瓶","-1.1901, -1.2674, -2.0129"
15,"坐 在 舱 内 , 我 又 抬 起 头 , 透过 一 [MASK] 大大 的  激光 玻璃 , 我 又 看到 了 星空 , 依旧 是 那么 的 灿烂 。",扇,片,-1.2256202697753906,"片, 块, 面","-1.2256, -1.9385, -1.9394"
16,今天 拍 全 [MASK]  !,家,景,-1.5668197870254517,"景, 部, 集","-1.5668, -2.4684, -2.7034"
17,"在 武汉 的  我 总是 问 你 我 爱 你 你 爱 我 吗 , 每 [MASK] 听到 你 说 我 爱 你 的 时候 我 真 想 大 声 地 告诉 大家 你 是 我 的 , 这 就 是 我 表达 我 心 中 喜悦 的 方式 , 呵呵 , 很 蠢 !",次,次,-0.2945657968521118,"次, 当, 每","-0.2946, -1.7156, -2.8420"
18,一 [MASK]  奶茶 。,杯,杯,-0.3844859004020691,"杯, 碗, 瓶","-0.3845, -2.6174, -3.1131"
19,"意大利 杏仁 红 茶 配 焦糖 布丁 , 绝赞 又 找到 一 [MASK] 搞 贵宾 活动 的 好 ",个,个,-0.3058184087276459,"个, 家, 位","-0.3058, -1.8661, -3.3490"
20,这 [MASK]  将 能 对抗 痴呆症 对人 的 影响 。,种,样,-0.9510544538497925,"样, 些, 也","-0.9511, -1.1394, -1.9775"
21,"难得 双方 家长 都 甘 开明 , 呢 [MASK]  拍 得 真系 好 愉快 。",个,次,-1.5984690189361572,"次, 张, 片","-1.5985, -2.1825, -2.2053"
22,"射手座 常 把 爱情 当成 一 [MASK]  , 喜欢 的 是 不 去 约束 他 的 人 。",场,切,-1.1764196157455444,"切, 种, 束","-1.1764, -2.3508, -3.0169"
23,"两 [MASK]  来 状态 一直 不 好 , 辞旧迎新 , 状态 得以 恢复 。",个,年,-0.018773745745420456,"年, 周, 天","-0.0188, -4.6658, -5.1112"
24,我 在 这里 徐汇区 一 [MASK]  在 上海 好 无聊哦,个,直,-1.962604284286499,"直, 起, 个","-1.9626, -2.1828, -2.8553"
25,"夏茗悠 8 记忆 中 的 阳光 总是 明亮 耀眼 , 使 人影 无处 藏身 , 哪怕 是 最 屈辱 最 悲伤 的 日子 , 湛蓝 如洗 的 天空 也 不 带 一 [MASK]  。",丝,丝,-1.4174118041992188,"丝, 点, 角","-1.4174, -1.8281, -2.6610"
26,"一 [MASK]  上班 , 下班 , 吃饭 , 睡觉 , 周末 回家 , 时间 仿佛 回到 了 一 年 前 , 却 又 似 不 一样 。",个,天,-1.2008693218231201,"天, 起, 直","-1.2009, -1.4259, -2.4140"
27,"哎 , 有点 想 我 的 室友 了 同 床 共 枕 过 的 张青 , 对床 的 晓青 , 还 有 早起 的 晓珍 , 高 二一 [MASK] 吃 饭 的 ",起,起,-0.12336011230945587,"起, 班, 同","-0.1234, -3.6670, -3.9417"
28,20111124 [MASK]  风舞 誓死 改掉 拖延 症亲 。,盒,凌,-2.930675745010376,"凌, 风, -","-2.9307, -3.1700, -3.8822"
29,"省 政协 委员 刘立平 昨天 向 记者 介绍 他 的 一 [MASK]  , 建议 http t cn z0gjQlw 分享 自 这 不 能 搞 山寨",份,生,-0.4047066569328308,"生, 切, 事","-0.4047, -2.3200, -2.4410"
30,"用 热 脸 去 贴 别 [MASK]  , 只 能 说 自己 个人 犯贱 !",个,人,-0.0021199388429522514,"人, 的, 处","-0.0021, -6.6131, -8.1687"
31,虽 说 鸥翼 真的 是 [MASK] 大  !,个,很,-0.40131261944770813,"很, 好, 巨","-0.4013, -2.0328, -2.9290"
32,"我 的 人生 , 就 像 眼影 一樣 的 弧度 , 画成 一 [MASK] 不 怕 枯萎 的  , 無論颳風 暴雨 , 衹要 還剩 一口氣 , 我還 是 堅持 走 自己 的 路 , 微笑 地 面對 所有人 的 目光 与 論語 , 讓別 人 說去 。",片,個,-1.3453081846237183,"個, 顆, 條","-1.3453, -2.2795, -2.3163"
33,好在 有 俄 的 小 3 [MASK]  拖 不然 真的 死 了 不过 还 是 差,门,在,-1.128541350364685,"在, 陪, 帮","-1.1285, -2.0822, -3.2758"
34,"努力 了 整个 下午 , 加上 老屋 , 一共 贴 了 四 [MASK]  。",副,张,-0.5599245429039001,"张, 次, 页","-0.5599, -2.8604, -3.5745"
35,我 想 换 [MASK] 微博  。,个,个,-0.10055498778820038,"个, 条, 换","-0.1006, -3.9420, -4.8373"
36,"小 七 祝 大家 好 事 接 2 连 3 , 心情 4 [MASK]  , 生活 5 颜 6 色 , 7 彩 缤纷 , 偶尔 8 点 小 财 , 烦恼 抛 到 9 霄 云外 !",季,色,-1.8554632663726807,"色, 好, 美","-1.8555, -2.0900, -2.4706"
37,我 那 天 突然 翻到 于江 给 我们 写 得 信 有 [MASK]  是 恁哎 的 有 一 天 1 看到 j 问 食堂 排队 的 人 长 不 长 然后 j 就 说 不 长 但是 好 粗 喔 哈哈 她 那个 时候 好 可爱喔,个,的,-1.6953773498535156,"的, 真, 点","-1.6954, -2.3480, -2.5182"
38,第一 [MASK] 3 点  何 其 悲惨,次,集,-2.1912624835968018,"集, 季, 到","-2.1913, -2.3464, -2.7231"
39,被迫 参加 一口气 喝掉 一 [MASK] 可乐  的 可怜 小 朋友 。,罐,瓶,-0.98898845911026,"瓶, 杯, 罐","-0.9890, -1.3079, -1.5093"
40,"一 [MASK] 爱笑 的  , Aom 不 笑 的 时候 都 那么 漂亮 , 笑 起来 简直 美死 了 !",个,个,-0.436107873916626,"个, 群, 直","-0.4361, -1.9783, -3.0049"
41,"剪 左 [MASK] 好 难 看 的  , 快快 长 啊 , 怎么 办 , 我 输 了 一 票 , , ,",个,边,-0.8234968781471252,"边, 手, 眼","-0.8235, -2.5006, -3.1330"
42,"在 10 岁 时 , 沃兹尼克 就 自己 设计 并 组装 了 一 [MASK] 晶体管  。",台,个,-0.4984225034713745,"个, 条, 组","-0.4984, -2.8261, -3.3419"
43,"半 [MASK]  了 , 还是 打 不 到 车 !",个,天,-0.555963397026062,"天, 夜, 年","-0.5560, -1.8473, -2.0016"
44,"如果 有 这样 一 [MASK]  , 我 会 爱 他 !",个,天,-0.06478739529848099,"天, 个, 人","-0.0648, -3.7402, -4.0455"
45,"武警 部队 已 列装 四 [MASK] 野战 宣传 文化 装备 新华网 消息 金秋  , 当 文化 一 词 成为 国人 关注 焦点 之际 , 记者 来到 威名 远播 的 英雄 皮旅 武警 驻 无锡 某师 , 探寻 和 感受 当今 中国 警营 基层 官兵 的 文化 生活 。",级,种,-0.8617879152297974,"种, 批, 大","-0.8618, -2.1473, -2.3517"
46,"分享 一 [MASK]  韩国 各 大 组合 队长 人气 比拼 第六 期 9 进 8 给 大家 , 欢迎 大家 来 投票 !",个,下,-0.1556326001882553,"下, 组, 个","-0.1556, -3.7448, -3.8034"
47,"以前 信奉 的 是 不 在 一 [MASK]  上 吊死 , 走 了 很久 后 发现 却 在 树林 里 迷失 了",棵,起,-0.7960529923439026,"起, 路, 树","-0.7961, -1.7456, -3.1280"
48,大年初三 冷 雨夜 两 [MASK]  系 路 中间 求撞 。,个,车,-0.9889712333679199,"车, 人, 辆","-0.9890, -2.1802, -3.2002"
49,"这个 年 过 得 真 忙碌 家 里 的 空调 二十四 小时 开 室温 也 只有 十五 度 , 于是 我 又 开始 埋怨 装修 时候 的 这 的 那 的 真 想 买 [MASK] 小  对 着 烤 !",个,个,-1.0368596315383911,"个, 小, 大","-1.0369, -1.5741, -2.5906"
50,收到 让 有 [MASK] 减肥 的  骑 着 卡拉车 送来 的 衣服 啦 真心 性感 啊 !,个,在,-1.8254647254943848,"在, 心, 想","-1.8255, -1.9233, -2.2290"
51,"今年 七月 , 当 我 打开 我 国内 的 号码 , 我 希望 会 是 上 百 [MASK] ",条,。,-0.015530216507613659,"。, ！, ？","-0.0155, -4.2538, -7.2413"
52,"本来 以为 看 两 [MASK]  , 再 喝 杯水 就 到 了 , 结果 看 完 格蕾 喝完 水 我 就 不 行 了 继 晕车晕 火车 后 , 我 竟然 晕机 !",集,遍,-0.71778404712677,"遍, 集, 天","-0.7178, -1.3973, -3.1171"
53,"家庭 是 孩子 成长 的 摇篮 , 父母 是 孩子 的 第一 [MASK]  。",任,任,-0.8438167572021484,"任, 人, 线","-0.8438, -2.0015, -2.2192"
54,其实 两 [MASK]  在一起 彼此 之间 一定 要 互相 信任 。,个,人,-0.2856869101524353,"人, 个, 性","-0.2857, -1.9171, -4.2224"
55,"book 到位 , 下 [MASK]  先 去 啦 。",次,次,-0.358900249004364,"次, 午, 回","-0.3589, -1.7892, -3.1346"
56,"瘦 腿 零 负担 每 天 晚上 , 放 一 [MASK]  , 水温 不 宜 过 高 , 将 腿 浸泡 1015 分钟 。",盆,盆,-1.0790824890136719,"盆, 杯, 水","-1.0791, -1.6329, -1.6907"
57,"这些 天 宝宝 白天 总是 很 难 哄 , 不 爱 自己 玩 不 爱笑 不 爱 说话 , 今天 是 姥姥 抱 着 睡 的 , 上午 就 开始 睡 , 一 觉 就 是 四 [MASK]  , 醒来 之后 又 笑 又 玩 , 真好 !",个,天,-0.7415267825126648,"天, 点, 次","-0.7415, -0.8491, -4.4939"
58,"让 我们 来 猜测 这 [MASK]  级别 的 牛人 最后 的 策略 他 能否 攻破 第十 道题 , 他 怎么 冲刺 !",位,个,-0.2998522222042084,"个, 一, 样","-0.2999, -2.3332, -2.7753"
59,"北方 每 年 都 要 给 老 祖宗 烧 [MASK]  , 放放炮",点,香,-0.2705223858356476,"香, 火, 烤","-0.2705, -2.5062, -3.7267"
60,没 多久 就 要 去 [MASK]  !,趟,了,-0.41690561175346375,"了, 啦, 咯","-0.4169, -1.9501, -2.6261"
61,"绵绵 细雨 晨 , 漫漫 人生路 [MASK]  深 , 淡淡 品味 真 。",丝,，,-1.6321653127670288,"，, ,, 更","-1.6322, -1.7513, -1.8035"
62,"快 看 最新 一 集火影 漫画 , 九 [MASK] 正式  鸣 人 了 !",尾,尾,-0.4403209388256073,"尾, 九, 黎","-0.4403, -2.6649, -3.9167"
63,还 有 这 一 [MASK]  让 我 听 不 真切 的 英语,口,段,-1.4001294374465942,"段, 句, 些","-1.4001, -1.6688, -1.8762"
64,赵薇 还 算 一 [MASK]  吗 ?,线,个,-1.0161206722259521,"个, 姐, 般","-1.0161, -2.1799, -2.2012"
65,睡 到 现在 好 强大 阿熬夜 通宵 的 人 伤 不 起 伤 不 起 今晚 又 不 用 睡 了妹 了 [MASK]  的,个,妹,-0.7323859333992004,"妹, 姐, 啊","-0.7324, -3.4047, -3.7758"
66,"这里 一 [MASK]  混乱 的 , 胜迪 你 快点 来 !",堆,片,-0.7749151587486267,"片, 定, 直","-0.7749, -1.5105, -2.4685"
67,"到 是 虚伪 自私 的 动物 , 没有 一 [MASK]  可以 爱 别人 多 嘎爱 自己 , 那 满口 的 谎言 , 又 或许 让 人 觉得 幸福 , 一旦 谎言 被 拆穿 , 那些 到 变得 虚伪 , 虚 伪 得 让 我 觉得 恶心",个,个,-1.2215646505355835,"个, 天, 人","-1.2216, -1.8493, -1.9381"
68,搞 半 天 九 [MASK]  九 喇嘛 。,尾,十,-1.2523703575134277,"十, 点, 九","-1.2524, -2.6609, -3.0834"
69,"朋友 趾高气昂 的 拍拍 肚子 说 , 就 当 里面 多 了 [MASK]  。",个,吧,-1.4342844486236572,"吧, 点, 肉","-1.4343, -2.0183, -2.2893"
70,"我 刚刚 在 爱 问 共 享 资料 上 传 了 资料 , 欢迎 大家 下载 分享 C0204 傅立叶 选集 第二 [MASK]  更 多",卷,卷,-0.8594897985458374,"卷, 部, 辑","-0.8595, -2.0357, -2.3666"
71,哎 又 是 一 [MASK] ,个,。,-0.46371546387672424,"。, ！, ？","-0.4637, -1.1217, -3.4024"
72,"最近 流行 盼望 明君 能 臣 , 寄望 人品 运气 改变 中国 , 昨友人 举例 张居正 一 [MASK]  让 明朝 进步 。",条,举,-1.8968322277069092,"举, 事, 定","-1.8968, -2.3884, -2.5512"
73,"汕头 , 姐肥 来 了 , 坐上 第一 [MASK]  , 不得不 说 , 汕头 的 公车 真 破 。",班,车,-1.745753526687622,"车, 班, 排","-1.7458, -1.8010, -2.1378"
74,"三亚 免税店 , 人山人海 , 这 [MASK]  的 真 长 。",队,真,-0.932948887348175,"真, 走, 拍","-0.9329, -2.5789, -3.3973"
75,"这 是 一 [MASK] 新 的 微博  , 电商 的 , 求 大家 关注 !",个,个,-0.10909710824489594,"个, 条, 篇","-0.1091, -2.7540, -4.9792"
76,加 了 三 [MASK] ,节,。,-0.258259117603302,"。, ！, ？","-0.2583, -1.8913, -2.6577"
77,"好 惨 啊 , 5 [MASK] 一  都 中 捂到 奖 , 得 份 朱古力 安慰 奖 。",分,选,-2.1347737312316895,"选, 期, 年","-2.1348, -2.3784, -2.4260"
78,你 [MASK] 扑街仔  医生 吓 到 我 喊 左 。,个,个,-2.0187225341796875,"个, 吓, 好","-2.0187, -2.5460, -3.3302"
79,"所以 不 好意思 要 先 借用 一下妳 的 照片 写 [MASK]  了 哦 , 敬请 期待 !",个,文,-1.484936237335205,"文, 好, 下","-1.4849, -1.6636, -2.2202"
80,若 你 想 哭 停顿 一下 请 把 我 的 这 [MASK]  在 脑子 里 反复 读 下去 今时 不同 往日 读到 你 的 泪水 干 了 你 就 懂 了 。,句,句,-1.0318037271499634,"句, 段, 话","-1.0318, -2.0096, -2.2017"
81,"对 我 来说 做饭 一直 就 跟 吃饭 一样 简单 , 但是 因为 懒 得 做 , 直接 导致 在 美国 一年半 没有 好好 做 过 一 [MASK] 中国  。",顿,次,-0.133967787027359,"次, 趟, 回","-0.1340, -3.5850, -3.7430"
82,"群号 208176478 , 只要 是 玩 摇滚 爱 摇滚 的 高中生 , 都 速速 加入 吧 大家 帮忙 转起 , 扩散 给 身边 每 一 [MASK] 玩 摇滚 的  !",个,个,-0.14833228290081024,"个, 位, 群","-0.1483, -2.0601, -5.6919"
83,"大年初二 , 训咗 几 [MASK]  又 爬 起身 返 老爷 屋 企 , 系咯 , 唔系 返 外 家吖",个,天,-0.916084885597229,"天, 日, 晚","-0.9161, -2.0802, -3.3271"
84,某 [MASK]  青春 戛然而止,个,天,-1.508523941040039,"天, 个, 日","-1.5085, -1.8077, -2.1675"
85,"不管 了 , 爱咋 地 咋地 , 一 [MASK]  过 的 最 好看 动漫 去 看 动漫 去 作业 神马 的 一会儿 再 说 !",个,年,-0.9795829057693481,"年, 生, 天","-0.9796, -1.4453, -2.4705"
86,真的 好 累 一 [MASK]  就 要 出去 WeicoLomo,起,早,-0.4656639099121094,"早, 下, 天","-0.4657, -2.4451, -3.7002"
87,这 几 天 一直 在 吃 这 两 [MASK] ,样,。,-0.28633320331573486,"。, ！, ？","-0.2863, -1.5259, -3.7775"
88,新 一 [MASK] 的  欲 貌似 又 挑头 了 !,轮,年,-1.1239230632781982,"年, 轮, 次","-1.1239, -1.6711, -2.2673"
89,那 [MASK]  会 出现 的 !,个,就,-1.7977118492126465,"就, 才, 里","-1.7977, -2.2255, -2.3454"
90,"哇塞 今天 打 斯诺克 , 做 了 一 [MASK] 我 自己 都 无法 想象 的  , 对面 崩溃 , 只 能 把 白 球 捅 进洞 , 哎 QQ 这个 应该 管管",杆,个,-1.1212761402130127,"个, 些, 件","-1.1213, -1.5219, -1.6048"
91,"刚刚 发现 的 , 在 页面 右上方 有 一 [MASK]  呢 , 上面 点缀 着 红红 的 梅花 , 看上去 很 漂亮 , 心情 也 会 变好 呢",棵,块,-1.6161870956420898,"块, 个, 张","-1.6162, -1.7696, -2.7182"
92,"好 想好 想稳人 陪 我 去 吃拧 [MASK] 日式 蛋  啊 , 好 想 吃 啊 。",个,个,-1.9974578619003296,"个, 的, 种","-1.9975, -2.3817, -3.1774"
93,上传 了 7 [MASK]  到 相册 纯纯 的 爱恋,张,张,-0.11531335115432739,"张, 页, 片","-0.1153, -3.5296, -5.3067"
94,"这 两 天 遇到 第三 [MASK] 交通  了 , 大过 年 的 , 希望 人 没事 , 大 车 烧 空 了 好像",个,次,-0.6650117039680481,"次, 天, 条","-0.6650, -2.5517, -2.8671"
95,开 了 [MASK]  喝 了 。,支,，,-0.4366827607154846,"，, 就, 、","-0.4367, -2.3436, -2.9894"
96,"2012116 , 彻夜 难眠 , 一 林 到 买 左 手机 , 一 [MASK]  都 无 , 生活 受到 威胁 , 就 觉得 后 悔 啦 !",分,点,-2.0051937103271484,"点, 切, 个","-2.0052, -2.4752, -2.8116"
97,"手机 掉 了 , 里面 哪怕 有 再 重要 的 资料 , 报案 不 说 是 被 偷 的 , 人民 警察 死活 都 不 肯 帮忙 哪怕 只 要 一 [MASK]  就 能 找回 。",个,下,-2.168642282485962,"下, 次, 手","-2.1686, -2.2649, -2.4665"
98,至今 我 还 后怕 的 那 [MASK]  !,个,个,-1.4000831842422485,"个, 种, 天","-1.4001, -2.3025, -2.3564"
99,"2 你 可以 是 一 [MASK]  , 没 必要 总是 仰视 别人 而 叹息 自己 。",道,个,-0.830713152885437,"个, 人, 切","-0.8307, -2.1695, -2.4099"
100,忙碌 了 一 天 多么 辛苦 呀 追 了 四 [MASK]  有点 沉重 了 笑点 只 是 插曲 主 旋律 还是 令 人 发指 的 现实 猛 啊 猛 你 咋变 成 这样,集,天,-1.1502947807312012,"天, 集, 年","-1.1503, -1.6136, -2.1059"
101,"啊啊 啊 , 第一 [MASK] 这么 ",次,次,-0.05741703882813454,"次, 个, 天","-0.0574, -4.2020, -4.7228"
102,"珠海 天气 20120122 早 今天 星期日 , 珠海 白天 到 夜间 小  , 气温 148 , 北风 34 [MASK] 明天 小 雨 , 气温 118 。",级,",",-0.2519596517086029,",, ;, 。","-0.2520, -3.1977, -3.2552"
103,"一 [MASK]  后 , 我们 依然 什么 都 不 是 。",个,年,-0.07453231513500214,"年, 天, 周","-0.0745, -3.8489, -3.9693"
104,"还是 做 人 值得 被 信任 总 有 被 咨询 的 需要 , 无奈 有时 自身 能力 不足 , 无法 给予 答案 , 到 这 [MASK]  很 幸福 。",种,里,-0.2181890457868576,"里, 儿, 也","-0.2182, -3.3793, -3.6760"
105,"仅 半天 没 照理 手机 , 竟 一下 收到 二百多 [MASK] 祝愿 和  , 很 感动 呀 。",条,条,-1.071141242980957,"条, 封, 个","-1.0711, -1.1099, -1.8886"
106,"候车室 的 书店 看到 一 [MASK] 感 兴趣 的  , 准备 寒假 拿 回去 实践 一下",本,些,-0.31854066252708435,"些, 堆, 个","-0.3185, -2.7127, -2.9821"
107,"闹钟 七 点 就 响 了 , 我 还 在 被窝 里 下 决心 , 我 就 是 [MASK]  薄弱 的 人 , 一 想到 又 是 一 天 的 大会 , 更 不 想 起床 了",个,个,-0.18513140082359314,"个, 最, 很","-0.1851, -2.7498, -2.8794"
108,过 了 二十 年 浑浑 噩噩 一 事 无成 的 日子 之后 我 希望 可以 改善 下 这 [MASK] 糟糕  不 要 再 这么 混账 下去 了 !,种,么,-0.4473245143890381,"么, 个, 种","-0.4473, -1.8630, -2.5717"
109,很 奇怪 当 听到 那 [MASK]  的 时候 我 为什么 会 笑 那么 久,句,句,-0.6223394274711609,"句, 话, 个","-0.6223, -2.5250, -2.7282"
110,我 在 这 拜 [MASK] 早年  拜年 mk 拜 年,个,年,-0.02992662601172924,"年, 。, ！","-0.0299, -4.6611, -6.1105"
111,视频 打工仔 建 15 [MASK]  赠送 村民 入住 过 新年 分享 自,栋,套,-1.7034960985183716,"套, 房, 年","-1.7035, -1.8566, -2.2174"
112,帮 爸爸 买 的 彩票 二 [MASK]  不过 阿爸 说 那 是 我 下下 学期 的 学费,等,，,-1.3740859031677246,"，, 十, ...","-1.3741, -2.0429, -3.0705"
113,明天 还 有 一 大 [MASK]  呢 。,段,早,-0.24778129160404205,"早, 班, 半","-0.2478, -3.0971, -3.7509"
114,吃 了 一 [MASK] 泰诺  的 困醒 去 这 该 是 多 幸福 的 事情吖,粒,口,-1.5585063695907593,"口, 点, 顿","-1.5585, -2.2047, -2.4415"
115,哈哈哈 笑死 了姐 今天 也 切 了 一 [MASK] 愤怒 的 甜椒 好 愤怒 的  。,个,个,-1.0300261974334717,"个, 些, 颗","-1.0300, -1.8936, -2.8405"
116,这样 好吗 一 [MASK] 方便面 加  给 我 吃 撑 了,袋,碗,-1.091781735420227,"碗, 个, 份","-1.0918, -1.7102, -2.7296"
117,"世界 最 有名 的 四 [MASK] 塔类  埃菲尔 铁塔 台北 101 东京 铁塔 迪拜塔 , 你 想去 哪里 ?",幢,大,-0.485632061958313,"大, 座, 个","-0.4856, -1.7375, -1.8317"
118,后面 那 [MASK]  黄 围脖 的 祝 她 快乐 吧,个,个,-0.3473604619503021,"个, 位, 些","-0.3474, -2.1469, -3.8698"
119,读 问好 灌水 表情 灌水 表情 灌水 表情 看到 yanzj 的 博文 一 [MASK] 飘 走 的 彩云 有感而发 的  。,朵,片,-1.4806015491485596,"片, 路, 起","-1.4806, -1.6319, -2.5330"
120,"兔年 的 最后 一 天 , 持续 感冒 中 , 我 已经 失去 嗅觉 , 估计 要 吃 一 [MASK] 食之无味 的  了",顿,顿,-1.2098650932312012,"顿, 些, 口","-1.2099, -1.9288, -1.9927"
121,发狼们 太 拽 了 寻遍木 有 开业 了 的 刚刚 全部 吹干 一 [MASK]  毛 累死 老娘 我 了 手臂 都 举 不 起来 了,头,撮,-1.8560690879821777,"撮, 坨, 堆","-1.8561, -2.4864, -2.4949"
122,"千 [MASK]  可惜 了 , 美女 老师 被 OOXX 男人 帮 恶夜 惊魂 天堂 口 大情人 疯狂 的 石头 我 的 娜塔莎 Hello 小姐 拿 什么 拯救 你 , 我 的 爱人 刀尖 上 行走 今夜 有 戏 欲望号 列车 写真 毒刺 疯狂 的 石头 青 木瓜 之 味 魔鬼 屠夫 香奈儿 的 秘密 情史",部,万,-0.15549777448177338,"万, 千, 太","-0.1555, -4.0144, -4.3426"
123,各位 过 [MASK] 好  啊 。,个,得,-0.1672373116016388,"得, 的, 年","-0.1672, -1.9854, -5.2020"
124,"父亲 给 小 米 买 了 双 皮鞋 , 一 [MASK]  之后 爸爸 问 小米 新 鞋 买 了 , 怎么 不 见 你 穿 呀 ?",个,天,-0.5686377882957458,"天, 年, 周","-0.5686, -1.6878, -1.7161"
125,"身 未 动 , 心 已 远 , 在 风景 展区 发布 20 [MASK] ",组,。,-0.2027720808982849,"。, ！, ？","-0.2028, -1.7509, -5.3559"
126,"酒 搞 多 了 , 现在 醒 了 , 口干 舌躁 , 两 [MASK]  , 真 TM 爽 !",杯,杯,-1.8901758193969727,"杯, 喝, 天","-1.8902, -2.3014, -2.3333"
127,"六味 地黄丸 , 你丸 我 也丸 , 一 天 六十 [MASK] ,  有 冲劲儿 不 来 一 发么 ?",粒,丸,-1.4092367887496948,"丸, 粒, 克","-1.4092, -1.8528, -2.1571"
128,"爹娘 给 我 上 了 堂课 , 主题 是 我 要 嫁 [MASK] 什么样 的  。",个,个,-0.3346163332462311,"个, 给, 成","-0.3346, -2.1447, -2.2034"
129,"但是 两 [MASK] 之间  了 六 年 , 结构 已经 荡然无存 。",卷,者,-0.11443299800157547,"者, 人, 个","-0.1144, -3.3447, -4.9583"
130,激动 到 我 TV 第三 [MASK]  !,季,次,-1.1891506910324097,"次, 眼, 天","-1.1892, -2.3534, -2.5152"
131,"刚刚 在 德克萨斯 扑克 游戏 中 与 同桌 PK , 以 一 [MASK] 葫芦  赢取 了 2080 筹码 !",手,个,-0.7514715790748596,"个, 根, 条","-0.7515, -2.0096, -2.4884"
132,刚才 出门 走 一 [MASK] 去 邮局 的  是 对 的 人家 今天 最后 一 天 班 我 不仅 买到 了 邮票 还 把 信 和 明信片 放 在 了 邮局 那 没有 风吹雨淋 的 邮箱 里 不过 估计 人家 年 后 才 会 寄 得 出去 了 。,遭,走,-0.901972234249115,"走, 趟, 圈","-0.9020, -1.4575, -2.1513"
133,见 着 [MASK] 学 的 好 不 如 嫁 的 好 的 活 例 咳 太 负面 太 负面 ,个,个,-1.7950334548950195,"个, 这, 你","-1.7950, -2.3834, -2.4101"
134,"要 把 它 过得 尽量 像 自己 想要 的 那 [MASK]  , 才 对",个,样,-0.00407284265384078,"样, 种, 般","-0.0041, -6.4163, -6.6831"
135,"一 [MASK]  拖完 , 累",口,直,-1.8423608541488647,"直, 天, 次","-1.8424, -1.9606, -2.3463"
136,总结 一 [MASK]  正 !,个,下,-0.6275247931480408,"下, 个, 点","-0.6275, -2.3059, -2.4890"
137,一 [MASK]  那 木 早 回家 好 冷呐,个,早,-2.223731279373169,"早, 天, 看","-2.2237, -3.0261, -3.5731"
138,"冷 到 发抖 , 但是 打开 衣柜 又 不 想 穿 那件 羽绒服 , 于是 下 一 [MASK]  汤圆 , 结果 一 吃 , 顿时 整个 人 火 起来 热 !",楼,个,-0.6457018256187439,"个, 碗, 盘","-0.6457, -2.1498, -3.3132"
139,地球 上 两 [MASK]  能 相遇 不 容易 作 不 成 你 的 情人 我 仍 感激,个,人,-0.11882030963897705,"人, 个, 者","-0.1188, -3.8814, -4.9522"
