id,tagged,classifier
LWC_3403658568333690_02,", 我 投给 了 苏志燮 这 1 _ 选项 。",个
LWC_3405905498608355_02,"求 原谅 , 我 是 _ 好 孩子 , 原谅 我 吧",个
LWC_3401680092247621_01,"前往 澄海 的 车上 , 突然 在 想 旅行 的 意义 每 _ 城市 都 有 太 多 的 共通点 , 大多数 的 景区 是 商业化 的 成果 , 可 为什么 还 有 那么 多 人 爬山 涉水 千 里 迢迢 去 旅行 ?",个
LWC_3403299108038025_01,"眼睛 好 疼 有 _ 叫做 每 天 吃 很多 水果 的 兔子 的 人 关注 了 我 , 名字 很 像 , 一 看 就是 说心里话 的 小号 。",个
LWC_3400423105390183_01,鼓起 勇气 称 _ 毛重 。,个
LWC_3401451982570882_01,"实 时报 今天 进行 的 阿布扎比 港内赛 中 , 主场 作战 的 阿布扎比队 不负重望 , 驾驶 战舰 阿萨姆号 在 阿布扎比 停靠 港赛 中 一路 领先 , 最终 赢得 胜利 , 全 取 六 _ 积分 。",个
LWC_3406071893683301_01,"如果 你 想 走 得 快 就 一 _ 人 上路 , 如果 想 走 得 远 就 结伴 而 行",个
LWC_3404659148944661_02,"想到 他 一 _ 躺 在 黑暗 里 , 就 心痛 难受 !",个
LWC_3400950895615996_01,"狗 日 的 , 隔壁 邻居 敲 你 _ JB 墙 啊 , 大清早 的 , 刚 想 睡 被 这样 一 敲 睡 不 着 了 , 草",个
LWC_3400264159982531_01,"妈 , 我 想 瘦 肚子 那 我 问 你 , 快走 , 转 呼啦圈 , 仰卧 起坐 哪 _ 会 瘦 肚子 啊 ?",个
LWC_3402490970454076_01,"A 股 已经 连续 四 _ 交易日 震荡 回调 , 短线 指数 在 2200 整数 关口 附近 徘徊 。",个
LCMC_N25_0042_01,"这 半 _ 月 来 , 她 练 的 都 是 点 麻穴 的 手法 , 早已 练 得 十分 纯熟 了 。",个
LWC_3401557410395772_02,"整个 非 你 莫属 就 他 一 _ 面试 官 , 一般 他 聊 完 就 给 选手 下 结论 。",个
LWC_3405280316019171_02,"人 有 善念 , 天必从之 , 所以 , 在 新年 的 第一 天 , 让 我们 根据 自己 的 情况 , 发 _ 殊胜 坚定 的 善 愿 吧 !",个
LWC_3405708205412082_01,"生活 有 我 更 精彩 都 退下 吧 , 朕想 一 _ 人静 一 静 。",个
LWC_3405856228113218_01,过 _ 年 都 唔简单 啊 。,个
LWC_3400368279103496_01,我 想 理 _ 平头 就 系 这样子,个
LWC_3406378439840146_01,"新 光棍 鸳鸯 梦 , 好 一 _ 悲催 光棍 !",个
LWC_3400247516605562_01,其实 当 交通 警察 也 是 _ 高危险 职业 !,个
LWC_3402575963704141_01,对 说听 说 你 一 _ 学期 以来 奋斗 不止 。,个
LWC_3401272736960477_03,害 我们 乡下 转 了 三 _ 多 小时 才 找到 高速 入口 ?,个
LWC_3402007631501761_01,下 _ 屁大 雨 跑到 一半 你 给 我 下雨 搞 得 我 迎 着 大 雨 奔跑 别人 以为 我 是 疯子 啊啊 啊 啊啊,个
LWC_3406347460976671_01,做 了 一 _ 好奇 怪 的 梦 哦,个
LWC_3407291811933505_03,这 是 _ 乞丐 !,个
LWC_3405419026582476_01,"新 的 一 年 , 就 是 应该 和 过去 告别 , 然后 寄望 一 _ 新 的 开始",个
LWC_3402507617473241_02,"学生 如果 我 长大 后 是 _ 女 的 , 就 做 医生 。",个
LWC_3404841928329945_01,没 想到 新年 第一 _ 电话 会 是 老哥 的 电话 哈哈 。,个
LWC_3400881073466517_01,"一 _ 人 放松 的 地方 , 请 提供 。",个
LWC_3401407770606140_01,"我 参与 了 发起 的 投票 谁 是 你 心 中 的 supper No 1 , 我 投给 了 韩庚 这 1 _ 选项 。",个
LWC_3406141801040973_03,"我 有点 想 回去 那 _ 纯真 的 时代 , 可是 我 割舍 不 下 许多 我 现在 爱 的 东西 。",个
LWC_3406469355831121_02,"我 连 _ 对象 都 木 有 , 伪 T 无前途 。",个
LWC_3401677453986713_01,我 参加 了 投票 韩流 star 舞王 投给 泫雅 4Minute 等 2 _ 选项,个
LWC_3400624135838876_01,梅艳芳 讲 得 好啱 借 钱 俾人 等于 少 一 _ 朋友 好 无奈 好 郁闷 我 唔係 开 银行 你 地 以后 唔好 再 问 我 借 钱,个
LWC_3401700190718518_01,在 家 太 闷 了 出来 走走 吧 一 _ 人 坐 在 泉城 广场 静静 的 观看 着 川流不息 的 人潮,个
LWC_3401809924484393_01,"我 参与 了 发起 的 投票 亲乃 喜欢 柯哀 还是 新 兰呢 , 我 投给 了 新兰 这 1 _ 选项 。",个
LWC_3405914453501776_03,还 怎么 体现 一 _ 男人 怎样 才 算 真的 爱 你 这 小 破 文章 小 三 儿 写 的 吧 姻缘 树呐,个
LWC_3400085658493700_01,"今天 生日 , 自己 网站 居然 有 _ 俄国 老 毛子 下单 , 哪 有 时间 去 发货 啊 , 怎么 办 怎么办",个
LWC_3399901133840248_01,"想 剪 _ 帅气 的 短发 , 可是 我 怂啊",个
LWC_3400038434664367_07,原谅 对 你 来说 就 是 _ 蛋 。,个
LWC_3401261644950564_01,那么 早 回 潍坊 干屁 阿 回来 给 我 带 _ 风筝 。,个
LWC_3402388520071596_01,一 _ 小时 前 还 在 挣扎 要 不 起床 !,个
LWC_3401947680291349_01,"到家 了 到家 了 , 历经 千辛万苦 , 头痛 加 想吐 , 晚 了 一 _ 小时 的 飞机 , 让 我 现在 才 躺下 , 被 窝 好 舒服 !",个
LWC_3400181284519051_01,"宝贝 , 我 并不 在意 你 的 多变 , 因为 我 知道 在 多变 的 背后 肯定 有 _ 故事 , 这个 故事 让 你 犹豫 , 让 你 徘徊 。",个
LWC_3407268958073566_02,"过 了 初一 还 有 十五 , 杨珑荇 从 遥远 地方 的 偏僻 乡下 过 年 回来 给 老 朋友 拜 _ 晚年 了 !",个
LWC_3400516701516049_01,结束 不断 晚点式 的 接机 配合 畅快 的 宵夜 与 啤酒 之后 Redemption in war 即将 迎来 颠覆性 的 变化 与 突破 当 原始 的 架构 面临 推翻 时有 的 只 是 兴奋 安稳 的 睡 上 几 _ 小时 进入 新 的 工作,个
LWC_3403396524712241_02,我 还 承受 着 两 _ 人 的 痛 。,个
LWC_3402664148737059_02,跟 我 说 两 _ 小时 搞定 。,个
LWC_3406384123557678_01,2012 对于 我 来 讲 只 系 一 _ 数字 对 他 也 没有 什么 期待 的 就 希望 自己 不 再 做 一些 无聊 的 事情 和 根本 没 必要 的 事 。,个
LWC_3404758578789669_02,"这 , 就 是 人生 的 每 一 _ 阶段 。",个
LWC_3404196382810528_01,莪 希望 有 那么 个人 16 岁 跟 莪相恋 21 岁 与 莪结婚 22 岁 _ 生命 的 诞生 23 岁 时 孩子 叫 我们 爸爸 妈妈 加 扣扣 1551353091,个
LWC_3402454684803096_01,今天 小 年 我 一 _ 人 在 家 大扫除,个
LWC_3406164146613572_02,"挥 一 挥 衣袖 , 不 带 走 一 _ 师妹 原文 地址 原 文 地址",个
LWC_3403881688450136_01,高速路 是 _ 无聊 的 路,个
LWC_3407046286328312_01,男人 拎 女 包 背 后 你 所 不 知道 的 X _ 秘密 知道 现在 男人 为什么 背 女 包么 ?,个
LWC_3401316049372845_01,"偏爱 , 是 酷爱 还 是 一 _ 人 的 偏执 ?",个
LWC_3405290941170055_02,放 鞭炮 我 地 两 _ 要 收利 是 !,个
LWC_3400548772482900_02,"在 牵扯 到 自身 利益 的 时候 , 有 谁 有 那 _ 时间 去 为 你 着想 ?",个
LWC_3404135737289155_02,"苍天 啊 , 快到 下 _ 月 联通 就 有 流量 了 。",个
LWC_3402919414474867_01,成 条卑 我 地 搞到 得 返 _ 头 同 身 骨头 哈哈,个
LWC_3401039825276693_02,", 我 投给 了 巧克力 这 12 _ 选项 。",个
LWC_3405425628486841_01,人生 最欢 的 事 不 外乎 拥有 一 _ 心灵 契合 的 知己 。,个
LWC_3406545553629461_03,"新 的 一 年 我 一定 努力 学习 和 工作 , 为 早点 离开 那 _ 地方 奋斗 !",个
LWC_3402385190017953_02,"电影 孩子们 是 根据 1991 年 3 月 26 日 , 去 抓 青蛙 的 五 _ 孩子 突然 失踪 , 又 名 青蛙 少年 的 失踪 事件 而 拍摄 的 电影 。",个
LWC_3404182696967318_01,"路 上 都 没 几 _ 人 了 , 上班 去 了 , 最后 一 天 都 照常 上班 的 人 伤 不 起 啊",个
LWC_3406526612055365_01,果真 感冒 了 _ 鼻好 塞 喉咙 好 痒,个
LWC_3407137680611215_01,"果 _ 人 话 5150 , 全 包 5250",个
LWC_3405678943658827_01,等 飞 是 _ 无聊 的 事情 。,个
LWC_3402353476976253_01,我 不 愿 让 你 一 _ 人 !,个
LWC_3402602777923028_01,"我 真心 的 说 , 在 感情 面前 , 我 绝对 是 _ 彻头彻脑 的 胆小鬼 , 完全 的 , 所以 我 没 资格 说 任何 人 !",个
LWC_3405402293253982_03,"当 欧阳赫听 徐丽菲 说出 张言曦 那 三 _ 字 的 时候 , 他 的 心情 不 知道 为什么 忽然 复杂 了 起来 。",个
LWC_3406331677514537_01,"别人 都 熟睡 的 时候 我 却 清醒 着 , 好 美 的 夜 可惜 只有 我 一 _ 人 在 欣赏 着 晚安 !",个
LWC_3402018073764035_02,装 了 _ 自动 闹钟 在 肚子 里 了,个
LWC_3403638792107510_06,只 是 真的 只有 我 一 _ 人 去 回忆 了 。,个
LWC_3404727734112120_03,"五 天 平均 睡眠 只有 三 _ 小时 , 晚上 三点半 睡 , 早上 六点半 起床 , 尼玛 , 不 是 一般 的 累 !",个
LWC_3400029751368288_01,"对于 即将 到来 的 寒假 , 我 真的 需要 做 一 _ 紧凑 周密 有效 的 计划 了 。",个
LWC_3405901745031988_07,"那 _ SB 接盘 男 , 死 全 家 !",个
LWC_3405629140016853_01,除了 爱情 小 故事 穿插 _ 惊悚 小品 。,个
LWC_3405618830100011_02,"贾凯里尼 率先 破门 , 皮耶罗 远射 破门 打入 本 赛季 第 1 球 , 连续 20 _ 赛季 进球",个
LCMC_E13_0074_01,"为了 说明 股份 、 股份公司 和 股票 的 含义 , 最 简单 的 是 举 _ 例子 。",个
LWC_3405411757679152_01,没 咩噶训 左 13 _ 钟姐,个
LWC_3406603728701744_02,"也 是 一 _ 交际 升级 , 接触 更 优秀 的 范围 , 次 优秀 变成 大众 。",个
LWC_3400460044944269_01,回到 家 的 第一 _ 晚上 我 成功 的 失眠 了,个
LWC_3401594427253913_01,通常 呢 _ 钟数 未 醉 噶人 系 最 辛苦噶 。,个
LWC_3404387202395477_02,买 汤圆 这 三 _ 字 一直 在 脑海 里 转悠 。,个
LWC_3405022333455059_01,两 _ 人 声音 太 配 了,个
LWC_3403638938936614_02,", 我 投给 了 帮助 薇薇 公主 拯救 阿拉巴斯坦 这 4 _ 选项 。",个
LWC_3403682358344259_02,我 好 害怕 自己 一 _ 人 。,个
LWC_3404812546365729_01,"阿森纳 的 进球 是 一 _ 极为 经典 的 枪手式 反击 , 其 速度 之 快 , 快 中 有 精 , 其中 张伯伦 很 有 代表性 。",个
LWC_3400688497649530_01,"我 参与 了 发起 的 投票 每 年 春节 前 你 都 会 做 什么 准备 , 我 投给 了 打扫 房间 , 清 杂物 这 6 _ 选项 。",个
LWC_3405227631649625_01,出生 已经 17 年 6 _ 月 出生 多久 就 认识 多久 了 姐姐们 你们 加油 了 嘛离 会考 大概 还 有 138 天 离 高考 大概 还 有 499 天 过 完 年 谁 都 各自 去 拼搏 了 嘛 祝 你们 在 事业 上 能 更上一层楼 谢谢 你们 爱 我 的 你们,个
LWC_3401021256209917_01,"下午 茶 拼命 对 一 _ 人 好 , 生怕 做错 一点 对方 就 不 喜欢 你 , 这 不 是 爱 是 取悦 。",个
LWC_3403336109309391_03,嘿不过 还 是 谢谢 你 忍 着 想 快进 的 心 和 我 一起 看到 最后 了 不然 我 一 _ 人 就 真的 无依无靠 了 啊 来 你 爱 的 恐怖 姑娘 !,个
LWC_3402694284848069_02,破 火车 晚点 居然 要 半 _ 小时 。,个
LWC_3401426227217328_01,"只有 一 _ 莲蓬 , 全 荷 叶儿",个
LWC_3403653438361627_01,整整 四 _ 月 把 自己 熬 得 惨不忍睹 !,个
LWC_3399865620792306_01,为 神马 我 想 说话 的 人 一 _ 都 不 再 Q 上 !,个
LWC_3404762119069512_01,"终于 看到 一 _ 比较 喜欢 的 节目 因为 爱情 , 我 爱 唱 的 歌曲 之一 因为 爱情 , 不 会 轻易 悲伤 , 所以 一切 都 是 幸福 的 模样 。",个
LWC_3405936402281155_03,我 知道 我 在 逃避 我 始终 不 愿 面对 为什么 相爱 的 两 _ 人 可以 这样 行同 陌路 。,个
LWC_3405336352466976_01,精品 每 _ BBoy 必 看 的 知识 文化 术语 普及 精品 啊 快 哭 了 没 见 过 这么 完整 的 Breaking 教学 专区 街 舞溜 论坛街 舞网 Powered by Discuz,个
LWC_3407259528859291_01,不得不 承认 的 一 _ 事实 明天 要 上班 了,个
LWC_3406451526073452_01,"一 _ 冬天 都 在 家 洗澡 今天 去 澡堂 洗 一下 头晕 的 想吐 , 哎 体质 不 好 啊",个
LWC_3405783872199555_01,"现在 澳大利亚 的 塔斯马尼亚岛 上 , 一 _ 叫 Scottdale 的 小 镇 上",个
LWC_3400243976867381_01,我 不 能 死宅 了 我 得 出门 买 _ 万 能 充,个
LWC_3405690289192104_01,又 报废 一 _ 网站 !,个
LWC_3405585905477270_03,"现在 睡 不 回去 了 , 浪 _ 办 ?",个
LWC_3400956479951591_01,"感谢 老妈 给 我 起 的 好 名字 , 源 目前 这 两 _ 字 都 被 恶搞 过 了 。",个
LWC_3403576737335894_02,"这个 世界 上 有 太 多 的 人 , 你 怎么 能 保证 , 他 她 就 一定 是 你 最后 爱上 的 那 _ 男人 女人 。",个
LWC_3403377583134778_01,黎 两 _ 特写 饮一啖真 系 比 死 更 难受 可以 选择 我 宁愿 饮杯 廿四味 又 或者 吃啖 榴莲 虽然 呢 样野 都 系 我 避 之 则 吉但 都 总 好过 饮佢所以 同学 聚会 千万千万 无 搞 呢 味野,个
LWC_3406105654934366_01,"突然 想到 四川 话 中 一 _ 很 地道 的 词麻广 广 , 应该 是 六级 以上 级别 的 , 谁 猜 的 到 是 什么 意思",个
LWC_3404775681155736_01,好像 梧州 春晚 比 央视 春晚 超前 噢 俄罗斯 那 _ 芭蕾舞 我们 都 跳 了 无数 遍 了,个
LWC_3403004562407500_01,"听到 春天 里 , 就 想到 那 _ 曾 抱 着 我 唱歌 的 人 。",个
LWC_3404592895378182_02,心 里 想 着 那么 一 _ 人 。,个
LWC_3401735886797776_01,今天 唯一 的 任务 就 是 把 几 _ 月 的 事情 全部 并 到 今天 一 天 完成 !,个
LWC_3399893621736129_01,"我 说 内 _ 的 童靴 , 我 今年 要 是 回 不 去 家 我 就 去 你 家 吃 饺子 , 顺便 去 见见 我 从 未 谋面 的 帅锅 海盗 先生 , 我 真 是 爱 死 他 了 看 照片 , 哈哈哈哈 !",个
LWC_3405683322041667_01,今天 终于 好好 睡 了 一 _ 懒觉 了,个
LWC_3401461783036125_01,"等 着 地 干 , 我 的 美味 的 鸭 汤 也 出锅 了煨 了 好几 _ 小时 噢",个
LWC_3401776691256342_01,一 _ 人 带 女儿 在 家 带 女儿,个
LWC_3405032349420512_01,"我 想 过 _ 好 年 , 不 行么",个
LWC_3405773793436700_01,"昨天 找遍 了 没 一 _ 洗头 店 是 开门 的 , 呵呵 , 今天 好不容易 有 开门 的 了 , 洗头 价格 翻 了 三 倍 !",个
LWC_3405948708344909_03,三 _ 面包 。,个
LWC_3400875970643061_01,分享 木棉 的 博文 图片 三 _ 窍门 做出 名扬 天下 的 粤式 经典 小吃 顺德 双 皮奶,个
LWC_3401550743964140_01,"转发 微博 , 火龙果 六 联图 , 俺们 靓仔 不 是 永远 的 哥哥 范儿 , 在 疼爱 他 的 曹哥哥 面前 一样 是 _ 傲娇 的 小弟弟 原文 地址 查 看 原文",个
LWC_3403797194006077_02,"我们 已 将 本期 团刊 派送 给 全 校 各位 领导 和 各 _ 班级 , 也 已 将 刊物 电子 档 上传 至 湖南 科技 大学 网站 之 共青 团团 刊 在 线",个
LWC_3401157382497703_01,今天 做 了 _ 头发,个
LWC_3405614519120699_01,"哼 我 梦见 你 爸爸 变成 类似 吸血鬼 的 东西 , 想 逼 害 我们 三 _ 吓 s 我 了",个
LWC_3403013890837582_01,宵夜咯 一 _ 字 正,个
LWC_3404459030048580_01,"今晚 早 D 训 , 训醒 得闲 去 西南 转 _ 圈 ,",个
LWC_3405589046851480_01,"想到 人 就 是 恶梦 梦到 自己 死掉 了 意外 的 幸运 签 又 借 _ 身体 回来 修行 听说 自己 是 开心 的 笑 着 死掉 了 , 自己 不 记得 前世 发生 的 事 , 只是 有些 时候 觉得 熟悉 恐惧 紧张 找 不 到 自己 , 作 新 的 自己 又 找 不 到 方向 。",个
LWC_3402891295589483_01,有 没 有 意愿 商量 下下 几 时 一起 去 吃 _ 腌面 啊 还 有 淑,个
LWC_3401390896627095_01,冲 金冠方 广 南瓜 钙 铁 锌 宝宝 颗粒 面 200g 适合 736 _ 月 超 新 1180 有 23 人 喜欢,个
LWC_3402749255510941_01,"迟到 了 一 分钟 又 跟 我 叽叽 歪歪 , 给 我 树 什么 道德 标尺 , 这个 缸里 每 _ 人 都 差 不 多 , 没有 谁 比 谁 更 高尚 , 只有 谁 比 谁 更 装 !",个
LWC_3401792931870271_01,"连 _ 电话 都 不 打给 我 , 算 了",个
LWC_3407315413797989_02,", 我 投给 了 宋茜 fx 这 5 _ 选项 。",个
LCMC_K01_0125_01,他们 在 一家 个体 音乐 茶座 坐 了 半 _ 多 小时 。,个
LWC_3407265786324306_03,醒来 以后 想 了 想 那 _ 梦 不知不觉 就 哭 了 是 没 反应 过来 的 时候 就 发现 自己 哭 了 。,个
LWC_3400779652259397_01,"好 吧 , 本 学期 最后 一 _ 晚上 , 宅宿舍 。",个
LWC_3405461066140091_02,"我们 每 _ 人 都 应 把握 以下 几 方面 的 信念 1 过去 不 代表 未来 2 人生 不 输 在 起跑 点 上 , 而 输 在 转折点 上 3 老 天爷 没 给 我们 想要 的 , 将 会 给 我们 更 好 的 。",个
LWC_3405283985336373_01,"害怕 , 抗拒 别人 抢走 那 _ 位置 。",个
LWC_3402327467924705_01,"一 _ 平时 感觉 不 到 的 辛苦 岗位 , 我 才 发现 要 比 我 更加 的 辛苦 , 今天 我 体会 到 了 , 以后 会 改变 我 对 原来 的 一些 看法 和 一些 做法 。",个
LWC_3402157691120194_02,", 我 投给 了 喜欢 , 这 1 _ 选项 。",个
LWC_3403310520772695_01,"我 参与 了 发起 的 投票 幂幂 的 男朋友 投票 请 慎重 考虑 , 我 投给 了 你 按错 了 吧 这 1 _ 选项 。",个
LWC_3403937933923848_01,一 _ 孩子 填写 的 详细 资料 调查表 。,个
LWC_3402393158434224_03,"像 我 这样 赶 一 赶 问题 不 大 , 可 出京 的 两 _ 主要 火车站 , 北京站 和 北京 西站 都 在 长安街 边 , 一 管制 , 那些 赶 火车 的 就 遭殃 了 。",个
LWC_3403684369304179_01,分享 一 _ 活动 给 大家 西安万 科 回家 集结号 之 幸运 大 转盘,个
LWC_3401697831673262_02,"能 维持 住 姿态 和 情绪 , 优雅 的 给 所有 自以为 高高 在 上 的 傻逼 一 _ 背影 , 俐俐 已经 很 优秀 了 。",个
LWC_3404210572038434_01,"其实 不 是 每 _ 人 , 都 适合 和 你 白头到老 的 。",个
UCLA_F_11141_01,"其中 维吾尔 , 哈萨克 , 回 , 蒙 , 柯尔克孜 , 锡伯 , 塔塔尔 , 塔吉克 , 达斡尔 , 满 , 俄罗斯 等 12 _ 少数民族 的 风俗 习惯 , 都 具有 鲜明 特色 。",个
LWC_3402792066855562_01,想 换 手机 想 去 想来 不 知 换 什么 好 要 不 先 买 _ 一般 的 安卓 以后 等 苹果 5 出来 再 换 纠结 纠结 现在 这 手机 还 没 用到 1 年,个
LWC_3407097155243642_01,节后 排队 买 下 _ 月 的 火车票 返 广州,个
LWC_3403294699491669_02,"这么 一 _ 有 中国 人文 文化 情怀 的 国际 公司 因 必须 无 的 负担 而 黯然 离开 大陆 , 神似 岳飞 当年 莫须有 的 罪名 。",个
LWC_3406589979573023_03,希望 永远 能 有 一 _ 人 保护 我 爱 我 珍惜 我 。,个
LWC_3402481984692981_04,", 投给 了 青 之 驱 魔师 小 黑 等 3 _ 选项 。",个
LWC_3400716687504391_02,", 我 投给 了 7 天 连锁 酒店 这 1 _ 选项 。",个
LWC_3404130326816634_01,福韵 到 家 希望 明年 可以 完成 人生 的 两 _ 任务 成家立业 地址,个
LWC_3406086402645458_04,"只 为了 可以 给 你 一 _ 充实 富足 的 家庭 , 我 也 不 奢望 多么 富丽堂皇 , 多么 雍容 华贵 。",个
LWC_3402582120809138_02,我 现在 只 想 知道 淘宝 上 的 那 _ 人 是 不 是 真 的 宋 含 如果 的话 也 就 心知肚明 了,个
LWC_3405931394158562_01,"大学 教官 说 在 21 世纪 高 科技 现代化 的 今天 做 一 _ 男人 真的 好 难 , 我 思考 了 一下 含义 莫非暗 指用 伽玛刀自宫 ?",个
LWC_3407009145907520_01,三点 多 了 在 看 Andy 的 微博 娃哈哈 想到 说 段长 是 _ 会 吸烟 的 球 就 想 笑 哦 娃哈哈 跟上 Andy 我 相信 我 会 越来越 疯 不过 会 越来越 快 了 哦 哈哈 !,个
UCLA_J_24394_01,霍 华德 建议 田园 城市 应 有 以下 6 _ 基本 要素 :,个
LWC_3403310675348774_02,点解 中国 国内 五 认 自己 _ passport 噶 !,个
LWC_3401553126086683_01,一 _ 无眠 的 夜晚,个
LWC_3401295105352310_01,"考完 了 , 哈哈哈 第一 _ 考试 !",个
LWC_3406019403675160_02,吐 到 现在 _ 胃 又 残 了 。,个
LWC_3407242960842712_01,"上班 第一 天 , 原来 每 _ 人 都 不 喜欢 上班 , 年 就 这么 过去 了 , 快 啊",个
LWC_3404899016555871_01,"呵呵 , 计划 一 _ 人 的 旅行 开车 看看 沿途 的 风景 , 到 陌生 的 城市 洗礼 浮躁 的 思绪",个
LWC_3401695493307514_01,"今日 天气 唔错啵系 时候 出去 溜达 溜达 了 , 要 做 翻 以往噶 自己 , 有 何 难 , 即使 身边 少 左 _ 人",个
LWC_3404263998766833_01,"发表 了 博文目 的 目的 我 一直 想 知道 , 我 在 你 心目 中 是 怎样 的 一 _ 人 。",个
LWC_3402283587060000_05,我 还 算 是 _ 好 人,个
LWC_3403573251775636_01,"我 参与 了 发起 的 投票 你 喜欢 钟嘉欣 还 是 邓紫棋 , 我 投给 了 钟嘉欣 这 1 _ 选项 。",个
LWC_3401091729680968_01,"筷子 兄弟 的 父亲 让 我 泪流满面 , 我 也 要 把 最 好 的 给 他 , 父亲 是 心底 最 伟大 的 那 _ 人",个
LWC_3407134287396434_01,"刚 跟 姐姐 逛 百佳 的 时候 碰到 一 _ 客人 觉得 好 熟悉 的 样子 哦哦哦 好 紧张 啊 都 想 不 起来 然后 她们 说 经常 坐 我们 的 车 , 嘿嘿 紧张 到 忘记 说 新年 快乐 之类 的 了 补上 哈哈",个
LWC_3402357103609208_03,一 _ 小时 到 单位 有 木 有 !,个
LWC_3402990052885615_01,习惯 了 每 天 只 睡 3 到 4 _ 小时 了 。,个
LWC_3405701248505208_01,"又 来 牛 一下 , 千 年 老 汤 啊 20 多 年 才 加多 一 _ 煲啊 不 容易 啊",个
LWC_3401918907458506_01,"我 觉得 我 像 _ 怨妇 , 整 天 抱怨 , 整 天 埋怨 , 以后 不得了 不 去 在乎 !",个
LWC_3407153701945769_02,"哈哈哈 , 我 就 是 一 _ 把 脑袋 都 丢掉 的 笨蛋 。",个
LWC_3403837857963391_03,要 不 就 发 _ 常德话版 的 。,个
LWC_3402041575454634_01,我 只 是 想 做 _ 好 人 。,个
LWC_3404325152039763_01,"OMG , 根据 不 系 每 _ 人 都 可以 叫 我 费城 的 性格 和 特长 , 未来 最 适合 从事 的 职业 竟然 是 编剧 你 编 故事 编 多 了 , 就 成 编剧 了 , 我 正 在 玩 未来 职业 测试 !",个
LWC_3401263938723351_04,"4 , 不 要 认为 找 _ 有 钱 男人 就 什么 都 有 了 。",个
