original_sentence,processed_sentence,target,top1_prediction,top3_predictions
"夏茗悠 8 记忆 中 的 阳光 总是 明亮 耀眼 , 使 人影 无处 藏身 , 哪怕 是 最 屈辱 最 悲伤 的 日子 , 湛蓝 如洗 的 天空 也 不 带 一 <CL> <h>云彩</h> 。","夏茗悠 8 记忆 中 的 阳光 总是 明亮 耀眼 , 使 人影 无处 藏身 , 哪怕 是 最 屈辱 最 悲伤 的 日子 , 湛蓝 如洗 的 天空 也 不 带 一 [MASK] 云彩 。",丝,丝,"丝, 片, 点"
"一 <CL> <h>人</h> 上班 , 下班 , 吃饭 , 睡觉 , 周末 回家 , 时间 仿佛 回到 了 一 年 前 , 却 又 似 不 一样 。","一 [MASK] 人 上班 , 下班 , 吃饭 , 睡觉 , 周末 回家 , 时间 仿佛 回到 了 一 年 前 , 却 又 似 不 一样 。",个,个,"个, 群, 家"
"哎 , 有点 想 我 的 室友 了 同 床 共 枕 过 的 张青 , 对床 的 晓青 , 还 有 早起 的 晓珍 , 高 二一 <CL> 吃 饭 的 <h>白杨</h>","哎 , 有点 想 我 的 室友 了 同 床 共 枕 过 的 张青 , 对床 的 晓青 , 还 有 早起 的 晓珍 , 高 二一 [MASK] 吃 饭 的 白杨",起,起,"起, 班, 次"
20111124 <CL> <h>DuaDua</h> 风舞 誓死 改掉 拖延 症亲 。,20111124 [MASK] DuaDua 风舞 誓死 改掉 拖延 症亲 。,盒,张,"张, 季, 波"
"省 政协 委员 刘立平 昨天 向 记者 介绍 他 的 一 <CL> <h>提案</h> , 建议 http t cn z0gjQlw 分享 自 这 不 能 搞 山寨","省 政协 委员 刘立平 昨天 向 记者 介绍 他 的 一 [MASK] 提案 , 建议 http t cn z0gjQlw 分享 自 这 不 能 搞 山寨",份,份,"份, 项, 些"
"用 热 脸 去 贴 别 <CL> <h>冷屁股</h> , 只 能 说 自己 个人 犯贱 !","用 热 脸 去 贴 别 [MASK] 冷屁股 , 只 能 说 自己 个人 犯贱 !",个,家,"家, 个, 处"
虽 说 鸥翼 真的 是 <CL> 大 <h>美人</h> !,虽 说 鸥翼 真的 是 [MASK] 大 美人 !,个,个,"个, 位, 张"
"我 的 人生 , 就 像 眼影 一樣 的 弧度 , 画成 一 <CL> 不 怕 枯萎 的 <h>葉子</h> , 無論颳風 暴雨 , 衹要 還剩 一口氣 , 我還 是 堅持 走 自己 的 路 , 微笑 地 面對 所有人 的 目光 与 論語 , 讓別 人 說去 。","我 的 人生 , 就 像 眼影 一樣 的 弧度 , 画成 一 [MASK] 不 怕 枯萎 的 葉子 , 無論颳風 暴雨 , 衹要 還剩 一口氣 , 我還 是 堅持 走 自己 的 路 , 微笑 地 面對 所有人 的 目光 与 論語 , 讓別 人 說去 。",片,片,"片, 棵, 朵"
好在 有 俄 的 小 3 <CL> <h>帮</h> 拖 不然 真的 死 了 不过 还 是 差,好在 有 俄 的 小 3 [MASK] 帮 拖 不然 真的 死 了 不过 还 是 差,门,帮,"帮, 号, 手"
"努力 了 整个 下午 , 加上 老屋 , 一共 贴 了 四 <CL> <h>对联</h> 。","努力 了 整个 下午 , 加上 老屋 , 一共 贴 了 四 [MASK] 对联 。",副,副,"副, 幅, 个"
我 想 换 <CL> 微博 <h>名字</h> 。,我 想 换 [MASK] 微博 名字 。,个,个,"个, 下, 回"
"小 七 祝 大家 好 事 接 2 连 3 , 心情 4 <CL> <h>如春</h> , 生活 5 颜 6 色 , 7 彩 缤纷 , 偶尔 8 点 小 财 , 烦恼 抛 到 9 霄 云外 !","小 七 祝 大家 好 事 接 2 连 3 , 心情 4 [MASK] 如春 , 生活 5 颜 6 色 , 7 彩 缤纷 , 偶尔 8 点 小 财 , 烦恼 抛 到 9 霄 云外 !",季,面,"面, 季, 味"
我 那 天 突然 翻到 于江 给 我们 写 得 信 有 <CL> <h>笑话</h> 是 恁哎 的 有 一 天 1 看到 j 问 食堂 排队 的 人 长 不 长 然后 j 就 说 不 长 但是 好 粗 喔 哈哈 她 那个 时候 好 可爱喔,我 那 天 突然 翻到 于江 给 我们 写 得 信 有 [MASK] 笑话 是 恁哎 的 有 一 天 1 看到 j 问 食堂 排队 的 人 长 不 长 然后 j 就 说 不 长 但是 好 粗 喔 哈哈 她 那个 时候 好 可爱喔,个,个,"个, 些, 句"
第一 <CL> 3 点 <h>痛醒</h> 何 其 悲惨,第一 [MASK] 3 点 痛醒 何 其 悲惨,次,集,"集, 章, 次"
被迫 参加 一口气 喝掉 一 <CL> 可乐 <h>比赛</h> 的 可怜 小 朋友 。,被迫 参加 一口气 喝掉 一 [MASK] 可乐 比赛 的 可怜 小 朋友 。,罐,瓶,"瓶, 杯, 罐"
"一 <CL> 爱笑 的 <h>女孩</h> , Aom 不 笑 的 时候 都 那么 漂亮 , 笑 起来 简直 美死 了 !","一 [MASK] 爱笑 的 女孩 , Aom 不 笑 的 时候 都 那么 漂亮 , 笑 起来 简直 美死 了 !",个,个,"个, 位, 颗"
"剪 左 <CL> 好 难 看 的 <h>头发</h> , 快快 长 啊 , 怎么 办 , 我 输 了 一 票 , , ,","剪 左 [MASK] 好 难 看 的 头发 , 快快 长 啊 , 怎么 办 , 我 输 了 一 票 , , ,",个,手,"手, 眼, 下"
"在 10 岁 时 , 沃兹尼克 就 自己 设计 并 组装 了 一 <CL> 晶体管 <h>收音机</h> 。","在 10 岁 时 , 沃兹尼克 就 自己 设计 并 组装 了 一 [MASK] 晶体管 收音机 。",台,台,"台, 个, 部"
"半 <CL> <h>小时</h> 了 , 还是 打 不 到 车 !","半 [MASK] 小时 了 , 还是 打 不 到 车 !",个,个,"个, 点, 把"
"如果 有 这样 一 <CL> <h>人</h> , 我 会 爱 他 !","如果 有 这样 一 [MASK] 人 , 我 会 爱 他 !",个,个,"个, 种, 位"
"武警 部队 已 列装 四 <CL> 野战 宣传 文化 装备 新华网 消息 金秋 <h>时节</h> , 当 文化 一 词 成为 国人 关注 焦点 之际 , 记者 来到 威名 远播 的 英雄 皮旅 武警 驻 无锡 某师 , 探寻 和 感受 当今 中国 警营 基层 官兵 的 文化 生活 。","武警 部队 已 列装 四 [MASK] 野战 宣传 文化 装备 新华网 消息 金秋 时节 , 当 文化 一 词 成为 国人 关注 焦点 之际 , 记者 来到 威名 远播 的 英雄 皮旅 武警 驻 无锡 某师 , 探寻 和 感受 当今 中国 警营 基层 官兵 的 文化 生活 。",级,种,"种, 批, 类"
"分享 一 <CL> <h>投票</h> 韩国 各 大 组合 队长 人气 比拼 第六 期 9 进 8 给 大家 , 欢迎 大家 来 投票 !","分享 一 [MASK] 投票 韩国 各 大 组合 队长 人气 比拼 第六 期 9 进 8 给 大家 , 欢迎 大家 来 投票 !",个,下,"下, 次, 起"
"以前 信奉 的 是 不 在 一 <CL> <h>树</h> 上 吊死 , 走 了 很久 后 发现 却 在 树林 里 迷失 了","以前 信奉 的 是 不 在 一 [MASK] 树 上 吊死 , 走 了 很久 后 发现 却 在 树林 里 迷失 了",棵,棵,"棵, 颗, 个"
大年初三 冷 雨夜 两 <CL> <h>傻婆行</h> 系 路 中间 求撞 。,大年初三 冷 雨夜 两 [MASK] 傻婆行 系 路 中间 求撞 。,个,个,"个, 位, 只"
"这个 年 过 得 真 忙碌 家 里 的 空调 二十四 小时 开 室温 也 只有 十五 度 , 于是 我 又 开始 埋怨 装修 时候 的 这 的 那 的 真 想 买 <CL> 小 <h>太阳</h> 对 着 烤 !","这个 年 过 得 真 忙碌 家 里 的 空调 二十四 小时 开 室温 也 只有 十五 度 , 于是 我 又 开始 埋怨 装修 时候 的 这 的 那 的 真 想 买 [MASK] 小 太阳 对 着 烤 !",个,个,"个, 只, 块"
收到 让 有 <CL> 减肥 的 <h>胖子</h> 骑 着 卡拉车 送来 的 衣服 啦 真心 性感 啊 !,收到 让 有 [MASK] 减肥 的 胖子 骑 着 卡拉车 送来 的 衣服 啦 真心 性感 啊 !,个,点,"点, 些, 所"
"今年 七月 , 当 我 打开 我 国内 的 号码 , 我 希望 会 是 上 百 <CL> <h>短信</h>","今年 七月 , 当 我 打开 我 国内 的 号码 , 我 希望 会 是 上 百 [MASK] 短信",条,条,"条, 个, 封"
"本来 以为 看 两 <CL> <h>格蕾</h> , 再 喝 杯水 就 到 了 , 结果 看 完 格蕾 喝完 水 我 就 不 行 了 继 晕车晕 火车 后 , 我 竟然 晕机 !","本来 以为 看 两 [MASK] 格蕾 , 再 喝 杯水 就 到 了 , 结果 看 完 格蕾 喝完 水 我 就 不 行 了 继 晕车晕 火车 后 , 我 竟然 晕机 !",集,次,"次, 个, 场"
"家庭 是 孩子 成长 的 摇篮 , 父母 是 孩子 的 第一 <CL> <h>教师</h> 。","家庭 是 孩子 成长 的 摇篮 , 父母 是 孩子 的 第一 [MASK] 教师 。",任,任,"任, 位, 个"
其实 两 <CL> <h>人</h> 在一起 彼此 之间 一定 要 互相 信任 。,其实 两 [MASK] 人 在一起 彼此 之间 一定 要 互相 信任 。,个,个,"个, 种, 群"
"book 到位 , 下 <CL> <h>放假</h> 先 去 啦 。","book 到位 , 下 [MASK] 放假 先 去 啦 。",次,次,"次, 班, 个"
"瘦 腿 零 负担 每 天 晚上 , 放 一 <CL> <h>热水</h> , 水温 不 宜 过 高 , 将 腿 浸泡 1015 分钟 。","瘦 腿 零 负担 每 天 晚上 , 放 一 [MASK] 热水 , 水温 不 宜 过 高 , 将 腿 浸泡 1015 分钟 。",盆,盆,"盆, 杯, 碗"
"这些 天 宝宝 白天 总是 很 难 哄 , 不 爱 自己 玩 不 爱笑 不 爱 说话 , 今天 是 姥姥 抱 着 睡 的 , 上午 就 开始 睡 , 一 觉 就 是 四 <CL> <h>小时</h> , 醒来 之后 又 笑 又 玩 , 真好 !","这些 天 宝宝 白天 总是 很 难 哄 , 不 爱 自己 玩 不 爱笑 不 爱 说话 , 今天 是 姥姥 抱 着 睡 的 , 上午 就 开始 睡 , 一 觉 就 是 四 [MASK] 小时 , 醒来 之后 又 笑 又 玩 , 真好 !",个,个,"个, 本, 点"
"让 我们 来 猜测 这 <CL> <h>牲口</h> 级别 的 牛人 最后 的 策略 他 能否 攻破 第十 道题 , 他 怎么 冲刺 !","让 我们 来 猜测 这 [MASK] 牲口 级别 的 牛人 最后 的 策略 他 能否 攻破 第十 道题 , 他 怎么 冲刺 !",位,个,"个, 位, 些"
"北方 每 年 都 要 给 老 祖宗 烧 <CL> <h>钱</h> , 放放炮","北方 每 年 都 要 给 老 祖宗 烧 [MASK] 钱 , 放放炮",点,点,"点, 些, 个"
没 多久 就 要 去 <CL> <h>厕所</h> !,没 多久 就 要 去 [MASK] 厕所 !,趟,下,"下, 趟, 个"
"绵绵 细雨 晨 , 漫漫 人生路 <CL> <h>情谊</h> 深 , 淡淡 品味 真 。","绵绵 细雨 晨 , 漫漫 人生路 [MASK] 情谊 深 , 淡淡 品味 真 。",丝,间,"间, 等, 道"
"快 看 最新 一 集火影 漫画 , 九 <CL> 正式 <h>认可</h> 鸣 人 了 !","快 看 最新 一 集火影 漫画 , 九 [MASK] 正式 认可 鸣 人 了 !",尾,尾,"尾, 段, 族"
还 有 这 一 <CL> <h>一如既往</h> 让 我 听 不 真切 的 英语,还 有 这 一 [MASK] 一如既往 让 我 听 不 真切 的 英语,口,段,"段, 个, 些"
赵薇 还 算 一 <CL> <h>演员</h> 吗 ?,赵薇 还 算 一 [MASK] 演员 吗 ?,线,个,"个, 名, 位"
睡 到 现在 好 强大 阿熬夜 通宵 的 人 伤 不 起 伤 不 起 今晚 又 不 用 睡 了妹 了 <CL> <h>夫</h> 的,睡 到 现在 好 强大 阿熬夜 通宵 的 人 伤 不 起 伤 不 起 今晚 又 不 用 睡 了妹 了 [MASK] 夫 的,个,匹,"匹, 帮, 等"
"这里 一 <CL> <h>人好</h> 混乱 的 , 胜迪 你 快点 来 !","这里 一 [MASK] 人好 混乱 的 , 胜迪 你 快点 来 !",堆,个,"个, 行, 群"
"到 是 虚伪 自私 的 动物 , 没有 一 <CL> <h>人</h> 可以 爱 别人 多 嘎爱 自己 , 那 满口 的 谎言 , 又 或许 让 人 觉得 幸福 , 一旦 谎言 被 拆穿 , 那些 到 变得 虚伪 , 虚 伪 得 让 我 觉得 恶心","到 是 虚伪 自私 的 动物 , 没有 一 [MASK] 人 可以 爱 别人 多 嘎爱 自己 , 那 满口 的 谎言 , 又 或许 让 人 觉得 幸福 , 一旦 谎言 被 拆穿 , 那些 到 变得 虚伪 , 虚 伪 得 让 我 觉得 恶心",个,个,"个, 种, 件"
搞 半 天 九 <CL> <h>叫</h> 九 喇嘛 。,搞 半 天 九 [MASK] 叫 九 喇嘛 。,尾,点,"点, 个, 号"
"朋友 趾高气昂 的 拍拍 肚子 说 , 就 当 里面 多 了 <CL> <h>蛋黄儿</h> 。","朋友 趾高气昂 的 拍拍 肚子 说 , 就 当 里面 多 了 [MASK] 蛋黄儿 。",个,点,"点, 些, 个"
"我 刚刚 在 爱 问 共 享 资料 上 传 了 资料 , 欢迎 大家 下载 分享 C0204 傅立叶 选集 第二 <CL> <h>pdf</h> 更 多","我 刚刚 在 爱 问 共 享 资料 上 传 了 资料 , 欢迎 大家 下载 分享 C0204 傅立叶 选集 第二 [MASK] pdf 更 多",卷,卷,"卷, 版, 章"
哎 又 是 一 <CL> <h>通天亮</h>,哎 又 是 一 [MASK] 通天亮,个,个,"个, 声, 片"
"最近 流行 盼望 明君 能 臣 , 寄望 人品 运气 改变 中国 , 昨友人 举例 张居正 一 <CL> <h>鞭法</h> 让 明朝 进步 。","最近 流行 盼望 明君 能 臣 , 寄望 人品 运气 改变 中国 , 昨友人 举例 张居正 一 [MASK] 鞭法 让 明朝 进步 。",条,个,"个, 套, 种"
"汕头 , 姐肥 来 了 , 坐上 第一 <CL> <h>公车</h> , 不得不 说 , 汕头 的 公车 真 破 。","汕头 , 姐肥 来 了 , 坐上 第一 [MASK] 公车 , 不得不 说 , 汕头 的 公车 真 破 。",班,班,"班, 辆, 趟"
"三亚 免税店 , 人山人海 , 这 <CL> <h>排</h> 的 真 长 。","三亚 免税店 , 人山人海 , 这 [MASK] 排 的 真 长 。",队,队,"队, 排, 个"
"这 是 一 <CL> 新 的 微博 <h>朋友</h> , 电商 的 , 求 大家 关注 !","这 是 一 [MASK] 新 的 微博 朋友 , 电商 的 , 求 大家 关注 !",个,个,"个, 条, 篇"
加 了 三 <CL> <h>车厢</h>,加 了 三 [MASK] 车厢,节,节,"节, 个, 组"
"好 惨 啊 , 5 <CL> 一 <h>机会</h> 都 中 捂到 奖 , 得 份 朱古力 安慰 奖 。","好 惨 啊 , 5 [MASK] 一 机会 都 中 捂到 奖 , 得 份 朱古力 安慰 奖 。",分,次,"次, 任, 点"
你 <CL> 扑街仔 <h>黄绿</h> 医生 吓 到 我 喊 左 。,你 [MASK] 扑街仔 黄绿 医生 吓 到 我 喊 左 。,个,个,"个, 家, 等"
"所以 不 好意思 要 先 借用 一下妳 的 照片 写 <CL> <h>预告</h> 了 哦 , 敬请 期待 !","所以 不 好意思 要 先 借用 一下妳 的 照片 写 [MASK] 预告 了 哦 , 敬请 期待 !",个,个,"个, 篇, 下"
若 你 想 哭 停顿 一下 请 把 我 的 这 <CL> <h>话</h> 在 脑子 里 反复 读 下去 今时 不同 往日 读到 你 的 泪水 干 了 你 就 懂 了 。,若 你 想 哭 停顿 一下 请 把 我 的 这 [MASK] 话 在 脑子 里 反复 读 下去 今时 不同 往日 读到 你 的 泪水 干 了 你 就 懂 了 。,句,句,"句, 段, 些"
"对 我 来说 做饭 一直 就 跟 吃饭 一样 简单 , 但是 因为 懒 得 做 , 直接 导致 在 美国 一年半 没有 好好 做 过 一 <CL> 中国 <h>菜</h> 。","对 我 来说 做饭 一直 就 跟 吃饭 一样 简单 , 但是 因为 懒 得 做 , 直接 导致 在 美国 一年半 没有 好好 做 过 一 [MASK] 中国 菜 。",顿,道,"道, 次, 顿"
"群号 208176478 , 只要 是 玩 摇滚 爱 摇滚 的 高中生 , 都 速速 加入 吧 大家 帮忙 转起 , 扩散 给 身边 每 一 <CL> 玩 摇滚 的 <h>朋友</h> !","群号 208176478 , 只要 是 玩 摇滚 爱 摇滚 的 高中生 , 都 速速 加入 吧 大家 帮忙 转起 , 扩散 给 身边 每 一 [MASK] 玩 摇滚 的 朋友 !",个,个,"个, 位, 群"
"大年初二 , 训咗 几 <CL> <h>钟</h> 又 爬 起身 返 老爷 屋 企 , 系咯 , 唔系 返 外 家吖","大年初二 , 训咗 几 [MASK] 钟 又 爬 起身 返 老爷 屋 企 , 系咯 , 唔系 返 外 家吖",个,分,"分, 个, 点"
某 <CL> <h>瞬间</h> 青春 戛然而止,某 [MASK] 瞬间 青春 戛然而止,个,个,"个, 些, 种"
"不管 了 , 爱咋 地 咋地 , 一 <CL> <h>人</h> 过 的 最 好看 动漫 去 看 动漫 去 作业 神马 的 一会儿 再 说 !","不管 了 , 爱咋 地 咋地 , 一 [MASK] 人 过 的 最 好看 动漫 去 看 动漫 去 作业 神马 的 一会儿 再 说 !",个,个,"个, 家, 辈"
真的 好 累 一 <CL> <h>床</h> 就 要 出去 WeicoLomo,真的 好 累 一 [MASK] 床 就 要 出去 WeicoLomo,起,起,"起, 下, 回"
这 几 天 一直 在 吃 这 两 <CL> <h>东西</h>,这 几 天 一直 在 吃 这 两 [MASK] 东西,样,种,"种, 样, 个"
新 一 <CL> 的 <h>吃</h> 欲 貌似 又 挑头 了 !,新 一 [MASK] 的 吃 欲 貌似 又 挑头 了 !,轮,轮,"轮, 季, 次"
那 <CL> <h>人</h> 会 出现 的 !,那 [MASK] 人 会 出现 的 !,个,个,"个, 些, 种"
"哇塞 今天 打 斯诺克 , 做 了 一 <CL> 我 自己 都 无法 想象 的 <h>球</h> , 对面 崩溃 , 只 能 把 白 球 捅 进洞 , 哎 QQ 这个 应该 管管","哇塞 今天 打 斯诺克 , 做 了 一 [MASK] 我 自己 都 无法 想象 的 球 , 对面 崩溃 , 只 能 把 白 球 捅 进洞 , 哎 QQ 这个 应该 管管",杆,个,"个, 些, 场"
"刚刚 发现 的 , 在 页面 右上方 有 一 <CL> <h>梅花树</h> 呢 , 上面 点缀 着 红红 的 梅花 , 看上去 很 漂亮 , 心情 也 会 变好 呢","刚刚 发现 的 , 在 页面 右上方 有 一 [MASK] 梅花树 呢 , 上面 点缀 着 红红 的 梅花 , 看上去 很 漂亮 , 心情 也 会 变好 呢",棵,棵,"棵, 株, 颗"
"好 想好 想稳人 陪 我 去 吃拧 <CL> 日式 蛋 <h>包饭</h> 啊 , 好 想 吃 啊 。","好 想好 想稳人 陪 我 去 吃拧 [MASK] 日式 蛋 包饭 啊 , 好 想 吃 啊 。",个,个,"个, 家, 种"
上传 了 7 <CL> <h>照片</h> 到 相册 纯纯 的 爱恋,上传 了 7 [MASK] 照片 到 相册 纯纯 的 爱恋,张,张,"张, 幅, 个"
"这 两 天 遇到 第三 <CL> 交通 <h>事故</h> 了 , 大过 年 的 , 希望 人 没事 , 大 车 烧 空 了 好像","这 两 天 遇到 第三 [MASK] 交通 事故 了 , 大过 年 的 , 希望 人 没事 , 大 车 烧 空 了 好像",个,次,"次, 起, 个"
开 了 <CL> <h>酒版</h> 喝 了 。,开 了 [MASK] 酒版 喝 了 。,支,点,"点, 个, 瓶"
"2012116 , 彻夜 难眠 , 一 林 到 买 左 手机 , 一 <CL> <h>钱</h> 都 无 , 生活 受到 威胁 , 就 觉得 后 悔 啦 !","2012116 , 彻夜 难眠 , 一 林 到 买 左 手机 , 一 [MASK] 钱 都 无 , 生活 受到 威胁 , 就 觉得 后 悔 啦 !",分,分,"分, 点, 块"
"手机 掉 了 , 里面 哪怕 有 再 重要 的 资料 , 报案 不 说 是 被 偷 的 , 人民 警察 死活 都 不 肯 帮忙 哪怕 只 要 一 <CL> <h>电话</h> 就 能 找回 。","手机 掉 了 , 里面 哪怕 有 再 重要 的 资料 , 报案 不 说 是 被 偷 的 , 人民 警察 死活 都 不 肯 帮忙 哪怕 只 要 一 [MASK] 电话 就 能 找回 。",个,个,"个, 通, 声"
至今 我 还 后怕 的 那 <CL> <h>橙汁</h> !,至今 我 还 后怕 的 那 [MASK] 橙汁 !,个,个,"个, 杯, 瓶"
"2 你 可以 是 一 <CL> <h>风景</h> , 没 必要 总是 仰视 别人 而 叹息 自己 。","2 你 可以 是 一 [MASK] 风景 , 没 必要 总是 仰视 别人 而 叹息 自己 。",道,种,"种, 幅, 道"
忙碌 了 一 天 多么 辛苦 呀 追 了 四 <CL> <h>心情</h> 有点 沉重 了 笑点 只 是 插曲 主 旋律 还是 令 人 发指 的 现实 猛 啊 猛 你 咋变 成 这样,忙碌 了 一 天 多么 辛苦 呀 追 了 四 [MASK] 心情 有点 沉重 了 笑点 只 是 插曲 主 旋律 还是 令 人 发指 的 现实 猛 啊 猛 你 咋变 成 这样,集,集,"集, 个, 遍"
"啊啊 啊 , 第一 <CL> 这么 <h>早</h>","啊啊 啊 , 第一 [MASK] 这么 早",次,次,"次, 个, 章"
"珠海 天气 20120122 早 今天 星期日 , 珠海 白天 到 夜间 小 <h>雨</h> , 气温 148 , 北风 34 <CL> 明天 小 雨 , 气温 118 。","珠海 天气 20120122 早 今天 星期日 , 珠海 白天 到 夜间 小 雨 , 气温 148 , 北风 34 [MASK] 明天 小 雨 , 气温 118 。",级,级,"级, 下, 点"
"一 <CL> <h>月</h> 后 , 我们 依然 什么 都 不 是 。","一 [MASK] 月 后 , 我们 依然 什么 都 不 是 。",个,个,"个, 些, 分"
