new_index,original_sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
20,这 <CL> 药物 将 能 对抗 痴呆症 对人 的 影响 。,种,部,-2.2652926445007324,"部, 家, 本","-2.2653, -2.3092, -2.4152"
21,"难得 双方 家长 都 甘 开明 , 呢 <CL> 拖 拍 得 真系 好 愉快 。",个,个,-0.8031715154647827,"个, 位, 次","-0.8032, -2.7016, -2.8531"
22,"射手座 常 把 爱情 当成 一 <CL> 游戏 , 喜欢 的 是 不 去 约束 他 的 人 。",场,种,-0.1806560605764389,"种, 个, 件","-0.1807, -2.4208, -4.1833"
23,"两 <CL> 月 来 状态 一直 不 好 , 辞旧迎新 , 状态 得以 恢复 。",个,部,-2.2714929580688477,"部, 家, 本","-2.2715, -2.3118, -2.3937"
24,我 在 这里 徐汇区 一 <CL> 人 在 上海 好 无聊哦,个,家,-1.6796510219573975,"家, 个, 楼","-1.6797, -1.7230, -1.8417"
25,"夏茗悠 8 记忆 中 的 阳光 总是 明亮 耀眼 , 使 人影 无处 藏身 , 哪怕 是 最 屈辱 最 悲伤 的 日子 , 湛蓝 如洗 的 天空 也 不 带 一 <CL> 云彩 。",丝,丝,-0.394267201423645,"丝, 点, 缕","-0.3943, -2.2517, -3.1473"
26,"一 <CL> 人 上班 , 下班 , 吃饭 , 睡觉 , 周末 回家 , 时间 仿佛 回到 了 一 年 前 , 却 又 似 不 一样 。",个,部,-2.274672031402588,"部, 家, 本","-2.2747, -2.3137, -2.3768"
27,"哎 , 有点 想 我 的 室友 了 同 床 共 枕 过 的 张青 , 对床 的 晓青 , 还 有 早起 的 晓珍 , 高 二一 <CL> 吃 饭 的 白杨",起,班,-0.1599251925945282,"班, 下, 组","-0.1599, -3.8923, -4.0156"
28,20111124 <CL> DuaDua 风舞 誓死 改掉 拖延 症亲 。,盒,部,-1.6602978706359863,"部, 起, 家","-1.6603, -2.1534, -2.4742"
29,"省 政协 委员 刘立平 昨天 向 记者 介绍 他 的 一 <CL> 提案 , 建议 http t cn z0gjQlw 分享 自 这 不 能 搞 山寨",份,套,-2.110532283782959,"套, 份, 些","-2.1105, -2.3396, -2.5151"
30,"用 热 脸 去 贴 别 <CL> 冷屁股 , 只 能 说 自己 个人 犯贱 !",个,脸,-0.8727903366088867,"脸, 处, 分","-0.8728, -1.7864, -3.5450"
31,虽 说 鸥翼 真的 是 <CL> 大 美人 !,个,双,-2.051602602005005,"双, 只, 对","-2.0516, -2.1482, -2.4090"
32,"我 的 人生 , 就 像 眼影 一樣 的 弧度 , 画成 一 <CL> 不 怕 枯萎 的 葉子 , 無論颳風 暴雨 , 衹要 還剩 一口氣 , 我還 是 堅持 走 自己 的 路 , 微笑 地 面對 所有人 的 目光 与 論語 , 讓別 人 說去 。",片,道,-0.8619793653488159,"道, 幅, 圈","-0.8620, -1.7867, -2.4812"
33,好在 有 俄 的 小 3 <CL> 帮 拖 不然 真的 死 了 不过 还 是 差,门,帮,-1.3575860261917114,"帮, 把, 号","-1.3576, -1.5378, -2.2985"
34,"努力 了 整个 下午 , 加上 老屋 , 一共 贴 了 四 <CL> 对联 。",副,张,-0.4833572506904602,"张, 个, 次","-0.4834, -2.5343, -2.8092"
35,我 想 换 <CL> 微博 名字 。,个,个,-1.5529594421386719,"个, 种, 对","-1.5530, -2.1837, -3.3988"
36,"小 七 祝 大家 好 事 接 2 连 3 , 心情 4 <CL> 如春 , 生活 5 颜 6 色 , 7 彩 缤纷 , 偶尔 8 点 小 财 , 烦恼 抛 到 9 霄 云外 !",季,点,-1.9340646266937256,"点, 分, 串","-1.9341, -2.0220, -2.8017"
37,我 那 天 突然 翻到 于江 给 我们 写 得 信 有 <CL> 笑话 是 恁哎 的 有 一 天 1 看到 j 问 食堂 排队 的 人 长 不 长 然后 j 就 说 不 长 但是 好 粗 喔 哈哈 她 那个 时候 好 可爱喔,个,些,-1.2490788698196411,"些, 点, 个","-1.2491, -1.3210, -2.1955"
38,第一 <CL> 3 点 痛醒 何 其 悲惨,次,家,-2.239959716796875,"家, 部, 本","-2.2400, -2.2920, -2.4738"
39,被迫 参加 一口气 喝掉 一 <CL> 可乐 比赛 的 可怜 小 朋友 。,罐,瓶,-1.605826735496521,"瓶, 杯, 个","-1.6058, -2.0613, -2.3041"
40,"一 <CL> 爱笑 的 女孩 , Aom 不 笑 的 时候 都 那么 漂亮 , 笑 起来 简直 美死 了 !",个,部,-2.274672031402588,"部, 家, 本","-2.2747, -2.3137, -2.3768"
41,"剪 左 <CL> 好 难 看 的 头发 , 快快 长 啊 , 怎么 办 , 我 输 了 一 票 , , ,",个,下,-1.5905959606170654,"下, 排, 手","-1.5906, -2.3632, -2.7463"
42,"在 10 岁 时 , 沃兹尼克 就 自己 设计 并 组装 了 一 <CL> 晶体管 收音机 。",台,个,-1.174485206604004,"个, 款, 套","-1.1745, -1.4224, -1.8261"
43,"半 <CL> 小时 了 , 还是 打 不 到 车 !",个,部,-2.367003917694092,"部, 家, 本","-2.3670, -2.5169, -2.6561"
44,"如果 有 这样 一 <CL> 人 , 我 会 爱 他 !",个,个,-2.199702739715576,"个, 样, 家","-2.1997, -2.6781, -2.7940"
45,"武警 部队 已 列装 四 <CL> 野战 宣传 文化 装备 新华网 消息 金秋 时节 , 当 文化 一 词 成为 国人 关注 焦点 之际 , 记者 来到 威名 远播 的 英雄 皮旅 武警 驻 无锡 某师 , 探寻 和 感受 当今 中国 警营 基层 官兵 的 文化 生活 。",级,辆,-1.439163088798523,"辆, 种, 个","-1.4392, -1.9911, -2.3363"
46,"分享 一 <CL> 投票 韩国 各 大 组合 队长 人气 比拼 第六 期 9 进 8 给 大家 , 欢迎 大家 来 投票 !",个,下,-0.08688398450613022,"下, 次, 篇","-0.0869, -3.9060, -3.9910"
47,"以前 信奉 的 是 不 在 一 <CL> 树 上 吊死 , 走 了 很久 后 发现 却 在 树林 里 迷失 了",棵,起,-0.02336014434695244,"起, 家, 般","-0.0234, -5.2666, -6.2791"
48,大年初三 冷 雨夜 两 <CL> 傻婆行 系 路 中间 求撞 。,个,声,-1.1030710935592651,"声, 个, 杯","-1.1031, -2.4912, -2.9058"
49,"这个 年 过 得 真 忙碌 家 里 的 空调 二十四 小时 开 室温 也 只有 十五 度 , 于是 我 又 开始 埋怨 装修 时候 的 这 的 那 的 真 想 买 <CL> 小 太阳 对 着 烤 !",个,个,-0.8648132085800171,"个, 点, 些","-0.8648, -1.8643, -2.4075"
50,收到 让 有 <CL> 减肥 的 胖子 骑 着 卡拉车 送来 的 衣服 啦 真心 性感 啊 !,个,回,-2.412050485610962,"回, 分, 些","-2.4121, -2.6680, -2.9075"
51,"今年 七月 , 当 我 打开 我 国内 的 号码 , 我 希望 会 是 上 百 <CL> 短信",条,个,-0.19056229293346405,"个, 条, 位","-0.1906, -2.9264, -3.6196"
52,"本来 以为 看 两 <CL> 格蕾 , 再 喝 杯水 就 到 了 , 结果 看 完 格蕾 喝完 水 我 就 不 行 了 继 晕车晕 火车 后 , 我 竟然 晕机 !",集,个,-1.7989747524261475,"个, 张, 次","-1.7990, -2.2337, -2.2735"
53,"家庭 是 孩子 成长 的 摇篮 , 父母 是 孩子 的 第一 <CL> 教师 。",任,任,-0.4546460509300232,"任, 个, 位","-0.4546, -1.8782, -3.2522"
54,其实 两 <CL> 人 在一起 彼此 之间 一定 要 互相 信任 。,个,个,-2.0359718799591064,"个, 本, 家","-2.0360, -2.4697, -2.5002"
55,"book 到位 , 下 <CL> 放假 先 去 啦 。",次,次,-0.9221862554550171,"次, 手, 班","-0.9222, -1.9485, -2.3907"
56,"瘦 腿 零 负担 每 天 晚上 , 放 一 <CL> 热水 , 水温 不 宜 过 高 , 将 腿 浸泡 1015 分钟 。",盆,杯,-1.0932682752609253,"杯, 点, 个","-1.0933, -2.0358, -2.3929"
57,"这些 天 宝宝 白天 总是 很 难 哄 , 不 爱 自己 玩 不 爱笑 不 爱 说话 , 今天 是 姥姥 抱 着 睡 的 , 上午 就 开始 睡 , 一 觉 就 是 四 <CL> 小时 , 醒来 之后 又 笑 又 玩 , 真好 !",个,个,-1.0157253742218018,"个, 级, 点","-1.0157, -1.3861, -2.0104"
58,"让 我们 来 猜测 这 <CL> 牲口 级别 的 牛人 最后 的 策略 他 能否 攻破 第十 道题 , 他 怎么 冲刺 !",位,个,-0.3732595443725586,"个, 些, 次","-0.3733, -2.6714, -3.4716"
59,"北方 每 年 都 要 给 老 祖宗 烧 <CL> 钱 , 放放炮",点,个,-2.0284781455993652,"个, 家, 台","-2.0285, -2.0682, -2.7371"
60,没 多久 就 要 去 <CL> 厕所 !,趟,个,-1.9900342226028442,"个, 次, 面","-1.9900, -2.3779, -2.9312"
61,"绵绵 细雨 晨 , 漫漫 人生路 <CL> 情谊 深 , 淡淡 品味 真 。",丝,路,-2.0907039642333984,"路, 头, 等","-2.0907, -2.3440, -2.4884"
62,"快 看 最新 一 集火影 漫画 , 九 <CL> 正式 认可 鸣 人 了 !",尾,尾,-2.4989004135131836,"尾, 条, 个","-2.4989, -2.5894, -2.5952"
63,还 有 这 一 <CL> 一如既往 让 我 听 不 真切 的 英语,口,个,-2.4078712463378906,"个, 些, 家","-2.4079, -2.4406, -2.8063"
64,赵薇 还 算 一 <CL> 演员 吗 ?,线,个,-0.21876408159732819,"个, 位, 对","-0.2188, -3.6009, -4.2556"
65,睡 到 现在 好 强大 阿熬夜 通宵 的 人 伤 不 起 伤 不 起 今晚 又 不 用 睡 了妹 了 <CL> 夫 的,个,对,-2.1938297748565674,"对, 点, 家","-2.1938, -2.2540, -2.6566"
66,"这里 一 <CL> 人好 混乱 的 , 胜迪 你 快点 来 !",堆,本,-2.5603485107421875,"本, 部, 家","-2.5603, -2.7487, -2.7847"
67,"到 是 虚伪 自私 的 动物 , 没有 一 <CL> 人 可以 爱 别人 多 嘎爱 自己 , 那 满口 的 谎言 , 又 或许 让 人 觉得 幸福 , 一旦 谎言 被 拆穿 , 那些 到 变得 虚伪 , 虚 伪 得 让 我 觉得 恶心",个,个,-0.6766744256019592,"个, 种, 件","-0.6767, -1.9484, -2.3465"
68,搞 半 天 九 <CL> 叫 九 喇嘛 。,尾,点,-1.1537593603134155,"点, 个, 条","-1.1538, -1.9128, -2.4610"
69,"朋友 趾高气昂 的 拍拍 肚子 说 , 就 当 里面 多 了 <CL> 蛋黄儿 。",个,个,-0.9664730429649353,"个, 些, 点","-0.9665, -1.4934, -2.0619"
70,"我 刚刚 在 爱 问 共 享 资料 上 传 了 资料 , 欢迎 大家 下载 分享 C0204 傅立叶 选集 第二 <CL> pdf 更 多",卷,章,-1.200118064880371,"章, 卷, 部","-1.2001, -1.6826, -2.0766"
71,哎 又 是 一 <CL> 通天亮,个,个,-1.6301783323287964,"个, 次, 家","-1.6302, -2.1346, -2.5538"
72,"最近 流行 盼望 明君 能 臣 , 寄望 人品 运气 改变 中国 , 昨友人 举例 张居正 一 <CL> 鞭法 让 明朝 进步 。",条,家,-1.2863712310791016,"家, 个, 位","-1.2864, -2.3981, -2.5402"
73,"汕头 , 姐肥 来 了 , 坐上 第一 <CL> 公车 , 不得不 说 , 汕头 的 公车 真 破 。",班,排,-1.34554922580719,"排, 座, 位","-1.3455, -2.2866, -2.4820"
74,"三亚 免税店 , 人山人海 , 这 <CL> 排 的 真 长 。",队,个,-0.7116617560386658,"个, 次, 些","-0.7117, -2.0573, -2.0580"
75,"这 是 一 <CL> 新 的 微博 朋友 , 电商 的 , 求 大家 关注 !",个,个,-0.6065180897712708,"个, 种, 家","-0.6065, -1.3429, -3.7378"
76,加 了 三 <CL> 车厢,节,个,-1.6126015186309814,"个, 次, 些","-1.6126, -3.1406, -3.2454"
77,"好 惨 啊 , 5 <CL> 一 机会 都 中 捂到 奖 , 得 份 朱古力 安慰 奖 。",分,个,-1.3432390689849854,"个, 点, 分","-1.3432, -2.0311, -2.1358"
78,你 <CL> 扑街仔 黄绿 医生 吓 到 我 喊 左 。,个,部,-2.2963926792144775,"部, 家, 本","-2.2964, -2.3070, -2.3644"
79,"所以 不 好意思 要 先 借用 一下妳 的 照片 写 <CL> 预告 了 哦 , 敬请 期待 !",个,下,-0.4342682957649231,"下, 点, 个","-0.4343, -2.4243, -2.4449"
80,若 你 想 哭 停顿 一下 请 把 我 的 这 <CL> 话 在 脑子 里 反复 读 下去 今时 不同 往日 读到 你 的 泪水 干 了 你 就 懂 了 。,句,个,-1.0672789812088013,"个, 张, 句","-1.0673, -2.2514, -2.4253"
81,"对 我 来说 做饭 一直 就 跟 吃饭 一样 简单 , 但是 因为 懒 得 做 , 直接 导致 在 美国 一年半 没有 好好 做 过 一 <CL> 中国 菜 。",顿,次,-0.27828773856163025,"次, 个, 顿","-0.2783, -3.1425, -3.1840"
82,"群号 208176478 , 只要 是 玩 摇滚 爱 摇滚 的 高中生 , 都 速速 加入 吧 大家 帮忙 转起 , 扩散 给 身边 每 一 <CL> 玩 摇滚 的 朋友 !",个,个,-0.3488462269306183,"个, 位, 群","-0.3488, -1.2863, -5.7297"
83,"大年初二 , 训咗 几 <CL> 钟 又 爬 起身 返 老爷 屋 企 , 系咯 , 唔系 返 外 家吖",个,个,-0.36545535922050476,"个, 次, 位","-0.3655, -3.0728, -3.5283"
84,某 <CL> 瞬间 青春 戛然而止,个,本,-1.8708722591400146,"本, 家, 个","-1.8709, -2.3969, -2.4638"
85,"不管 了 , 爱咋 地 咋地 , 一 <CL> 人 过 的 最 好看 动漫 去 看 动漫 去 作业 神马 的 一会儿 再 说 !",个,点,-1.494583249092102,"点, 个, 下","-1.4946, -1.8596, -2.9367"
86,真的 好 累 一 <CL> 床 就 要 出去 WeicoLomo,起,路,-0.5617814064025879,"路, 次, 下","-0.5618, -2.0099, -2.3468"
87,这 几 天 一直 在 吃 这 两 <CL> 东西,样,个,-1.1383333206176758,"个, 款, 种","-1.1383, -1.5950, -2.3779"
88,新 一 <CL> 的 吃 欲 貌似 又 挑头 了 !,轮,本,-2.13216233253479,"本, 家, 个","-2.1322, -2.9137, -2.9784"
89,那 <CL> 人 会 出现 的 !,个,部,-2.271376132965088,"部, 家, 本","-2.2714, -2.3201, -2.4012"
90,"哇塞 今天 打 斯诺克 , 做 了 一 <CL> 我 自己 都 无法 想象 的 球 , 对面 崩溃 , 只 能 把 白 球 捅 进洞 , 哎 QQ 这个 应该 管管",杆,个,-0.6210272312164307,"个, 些, 套","-0.6210, -2.3759, -2.8349"
91,"刚刚 发现 的 , 在 页面 右上方 有 一 <CL> 梅花树 呢 , 上面 点缀 着 红红 的 梅花 , 看上去 很 漂亮 , 心情 也 会 变好 呢",棵,面,-1.1956374645233154,"面, 个, 页","-1.1956, -2.6532, -2.7675"
92,"好 想好 想稳人 陪 我 去 吃拧 <CL> 日式 蛋 包饭 啊 , 好 想 吃 啊 。",个,餐,-0.6347169280052185,"餐, 点, 家","-0.6347, -2.9213, -3.5859"
93,上传 了 7 <CL> 照片 到 相册 纯纯 的 爱恋,张,个,-1.7924426794052124,"个, 本, 下","-1.7924, -2.0028, -2.5416"
94,"这 两 天 遇到 第三 <CL> 交通 事故 了 , 大过 年 的 , 希望 人 没事 , 大 车 烧 空 了 好像",个,个,-0.7654550075531006,"个, 次, 台","-0.7655, -2.1598, -3.2121"
95,开 了 <CL> 酒版 喝 了 。,支,个,-2.391082525253296,"个, 家, 次","-2.3911, -2.6124, -2.9349"
96,"2012116 , 彻夜 难眠 , 一 林 到 买 左 手机 , 一 <CL> 钱 都 无 , 生活 受到 威胁 , 就 觉得 后 悔 啦 !",分,路,-1.0033981800079346,"路, 个, 点","-1.0034, -2.3968, -2.5143"
97,"手机 掉 了 , 里面 哪怕 有 再 重要 的 资料 , 报案 不 说 是 被 偷 的 , 人民 警察 死活 都 不 肯 帮忙 哪怕 只 要 一 <CL> 电话 就 能 找回 。",个,个,-0.6796001195907593,"个, 点, 次","-0.6796, -2.2147, -2.2875"
98,至今 我 还 后怕 的 那 <CL> 橙汁 !,个,个,-0.7202133536338806,"个, 种, 句","-0.7202, -1.8413, -2.7505"
99,"2 你 可以 是 一 <CL> 风景 , 没 必要 总是 仰视 别人 而 叹息 自己 。",道,个,-1.5060386657714844,"个, 家, 所","-1.5060, -2.1882, -2.9360"
100,忙碌 了 一 天 多么 辛苦 呀 追 了 四 <CL> 心情 有点 沉重 了 笑点 只 是 插曲 主 旋律 还是 令 人 发指 的 现实 猛 啊 猛 你 咋变 成 这样,集,个,-0.7176356315612793,"个, 次, 季","-0.7176, -2.0237, -3.3787"
101,"啊啊 啊 , 第一 <CL> 这么 早",次,次,-1.1022820472717285,"次, 个, 名","-1.1023, -2.2864, -2.4207"
102,"珠海 天气 20120122 早 今天 星期日 , 珠海 白天 到 夜间 小 雨 , 气温 148 , 北风 34 <CL> 明天 小 雨 , 气温 118 。",级,级,-0.31243258714675903,"级, 号, 点","-0.3124, -1.6831, -3.7521"
103,"一 <CL> 月 后 , 我们 依然 什么 都 不 是 。",个,部,-2.274672031402588,"部, 家, 本","-2.2747, -2.3137, -2.3768"
104,"还是 做 人 值得 被 信任 总 有 被 咨询 的 需要 , 无奈 有时 自身 能力 不足 , 无法 给予 答案 , 到 这 <CL> 感觉 很 幸福 。",种,样,-1.294230341911316,"样, 个, 种","-1.2942, -1.5226, -2.0361"
105,"仅 半天 没 照理 手机 , 竟 一下 收到 二百多 <CL> 祝愿 和 拜年 , 很 感动 呀 。",条,条,-0.5276174545288086,"条, 个, 封","-0.5276, -1.9940, -2.4766"
106,"候车室 的 书店 看到 一 <CL> 感 兴趣 的 书 , 准备 寒假 拿 回去 实践 一下",本,台,-2.5375940799713135,"台, 行, 场","-2.5376, -2.8434, -2.8502"
107,"闹钟 七 点 就 响 了 , 我 还 在 被窝 里 下 决心 , 我 就 是 <CL> 意志 薄弱 的 人 , 一 想到 又 是 一 天 的 大会 , 更 不 想 起床 了",个,家,-1.7540879249572754,"家, 个, 对","-1.7541, -1.8334, -2.2506"
108,过 了 二十 年 浑浑 噩噩 一 事 无成 的 日子 之后 我 希望 可以 改善 下 这 <CL> 糟糕 情况 不 要 再 这么 混账 下去 了 !,种,个,-0.47212809324264526,"个, 些, 种","-0.4721, -2.1605, -2.3998"
109,很 奇怪 当 听到 那 <CL> 话 的 时候 我 为什么 会 笑 那么 久,句,个,-0.8956600427627563,"个, 些, 句","-0.8957, -1.9709, -2.2881"
110,我 在 这 拜 <CL> 早年 mk 拜年 mk 拜 年,个,下,-2.197739601135254,"下, 个, 堂","-2.1977, -2.2518, -2.5710"
111,视频 打工仔 建 15 <CL> 别墅 赠送 村民 入住 过 新年 分享 自,栋,个,-0.8597292900085449,"个, 栋, 间","-0.8597, -2.5253, -2.6067"
112,帮 爸爸 买 的 彩票 二 <CL> 奖 不过 阿爸 说 那 是 我 下下 学期 的 学费,等,等,-1.556654930114746,"等, 码, 号","-1.5567, -1.6670, -2.1646"
113,明天 还 有 一 大 <CL> 旅途 呢 。,段,个,-1.3291207551956177,"个, 些, 家","-1.3291, -2.5715, -2.6345"
114,吃 了 一 <CL> 泰诺 晕乎乎 的 困醒 去 这 该 是 多 幸福 的 事情吖,粒,本,-2.607997417449951,"本, 家, 个","-2.6080, -2.7430, -2.8747"
115,哈哈哈 笑死 了姐 今天 也 切 了 一 <CL> 愤怒 的 甜椒 好 愤怒 的 样子 。,个,下,-0.8973960876464844,"下, 口, 些","-0.8974, -2.3917, -2.6640"
116,这样 好吗 一 <CL> 方便面 加 茶蛋 给 我 吃 撑 了,袋,样,-2.278346300125122,"样, 等, 个","-2.2783, -2.8272, -2.8865"
117,"世界 最 有名 的 四 <CL> 塔类 建筑物 埃菲尔 铁塔 台北 101 东京 铁塔 迪拜塔 , 你 想去 哪里 ?",幢,个,-0.45442235469818115,"个, 位, 家","-0.4544, -2.2270, -2.8015"
118,后面 那 <CL> 戴 黄 围脖 的 祝 她 快乐 吧,个,面,-1.5261485576629639,"面, 台, 个","-1.5261, -3.1362, -3.2227"
119,读 问好 灌水 表情 灌水 表情 灌水 表情 看到 yanzj 的 博文 一 <CL> 飘 走 的 彩云 有感而发 的 评论 。,朵,下,-1.4063403606414795,"下, 个, 样","-1.4063, -1.7222, -2.4521"
120,"兔年 的 最后 一 天 , 持续 感冒 中 , 我 已经 失去 嗅觉 , 估计 要 吃 一 <CL> 食之无味 的 年夜饭 了",顿,次,-1.7662394046783447,"次, 点, 个","-1.7662, -2.1658, -2.2410"
121,发狼们 太 拽 了 寻遍木 有 开业 了 的 刚刚 全部 吹干 一 <CL> 辣 毛 累死 老娘 我 了 手臂 都 举 不 起来 了,头,遍,-1.113054633140564,"遍, 下, 个","-1.1131, -1.8719, -2.6895"
122,"千 <CL> 激情片 可惜 了 , 美女 老师 被 OOXX 男人 帮 恶夜 惊魂 天堂 口 大情人 疯狂 的 石头 我 的 娜塔莎 Hello 小姐 拿 什么 拯救 你 , 我 的 爱人 刀尖 上 行走 今夜 有 戏 欲望号 列车 写真 毒刺 疯狂 的 石头 青 木瓜 之 味 魔鬼 屠夫 香奈儿 的 秘密 情史",部,行,-2.6988227367401123,"行, 本, 所","-2.6988, -2.8747, -3.0755"
123,各位 过 <CL> 好 年 啊 。,个,家,-2.089613437652588,"家, 本, 个","-2.0896, -2.5605, -2.9188"
124,"父亲 给 小 米 买 了 双 皮鞋 , 一 <CL> 星期 之后 爸爸 问 小米 新 鞋 买 了 , 怎么 不 见 你 穿 呀 ?",个,双,-0.3036542534828186,"双, 次, 路","-0.3037, -3.0525, -3.3866"
125,"身 未 动 , 心 已 远 , 在 风景 展区 发布 20 <CL> 作品",组,张,-1.0437204837799072,"张, 个, 篇","-1.0437, -2.7888, -2.8077"
126,"酒 搞 多 了 , 现在 醒 了 , 口干 舌躁 , 两 <CL> 果汁 , 真 TM 爽 !",杯,眼,-0.8866451382637024,"眼, 手, 头","-0.8866, -1.6320, -2.0312"
127,"六味 地黄丸 , 你丸 我 也丸 , 一 天 六十 <CL> , 发发 有 冲劲儿 不 来 一 发么 ?",粒,粒,-0.5633229613304138,"粒, 次, 颗","-0.5633, -2.3415, -2.4333"
128,"爹娘 给 我 上 了 堂课 , 主题 是 我 要 嫁 <CL> 什么样 的 人 。",个,对,-1.7112741470336914,"对, 个, 家","-1.7113, -1.8475, -2.2773"
129,"但是 两 <CL> 之间 拖 了 六 年 , 结构 已经 荡然无存 。",卷,个,-2.075536012649536,"个, 家, 次","-2.0755, -2.1795, -2.8537"
130,激动 到 我 TV 第三 <CL> 到来 !,季,章,-1.019471287727356,"章, 季, 集","-1.0195, -1.6890, -2.9313"
131,"刚刚 在 德克萨斯 扑克 游戏 中 与 同桌 PK , 以 一 <CL> 葫芦 牌型 赢取 了 2080 筹码 !",手,个,-1.347437858581543,"个, 种, 张","-1.3474, -1.5464, -2.7906"
132,刚才 出门 走 一 <CL> 去 邮局 的 决定 是 对 的 人家 今天 最后 一 天 班 我 不仅 买到 了 邮票 还 把 信 和 明信片 放 在 了 邮局 那 没有 风吹雨淋 的 邮箱 里 不过 估计 人家 年 后 才 会 寄 得 出去 了 。,遭,个,-1.279836893081665,"个, 步, 样","-1.2798, -2.6155, -2.8203"
133,见 着 <CL> 学 的 好 不 如 嫁 的 好 的 活 例 咳 太 负面 太 负面 阿弥陀佛,个,面,-1.8380309343338013,"面, 等, 个","-1.8380, -2.8440, -2.9962"
134,"要 把 它 过得 尽量 像 自己 想要 的 那 <CL> 样子 , 才 对",个,样,-0.013641837053000927,"样, 种, 般","-0.0136, -4.7347, -6.2847"
135,"一 <CL> 气 拖完 , 累",口,部,-2.274672031402588,"部, 家, 本","-2.2747, -2.3137, -2.3768"
136,总结 一 <CL> 字 正 !,个,下,-0.3331533968448639,"下, 篇, 个","-0.3332, -2.9062, -3.1073"
